case,mach,alpha_deg,cl,delta_cl,cd,delta_cd,cx,delta_cx,cy,delta_cy,cz,delta_cz,c_roll,delta_c_roll,c_pitch,delta_c_pitch,c_yaw,delta_c_yaw
clean,0.8,10.3,0.368505466871,0.0,0.11129794625100001,0.0,-0.04361479031007104,0.0,0.0,0.0,-0.38246733457867055,0.0,0.0,0.0,-0.012108191255580067,0.0,0.0,0.0
symmetric_upper_body_flap,0.8,10.3,0.29541817670484644,-0.07308729016615356,0.10836778752719481,-0.0029301587238051985,-0.05380002036150832,-0.010185230051437281,0.0,0.0,-0.3100339244506259,0.07243341012804466,0.0,0.0,0.01548332277462003,0.027591514030200097,0.0,0.0
symmetric_lower_body_flap,0.8,10.3,0.439353482412824,0.07084801554182402,0.13109134498437933,0.01979339873337932,-0.050421437058219956,-0.006806646748148917,0.0,0.0,-0.45571274057576355,-0.073245405997093,0.0,0.0,-0.027906634832461315,-0.015798443576881246,0.0,0.0
speedbrake,0.8,10.3,0.3445228732206,-0.023982593650400008,0.13600026044415334,0.02470231419315333,-0.0722071685159748,-0.028592378205903768,0.0,0.0,-0.3632880480114378,0.019179286567232723,0.0,0.0,0.004111255025428421,0.016219446281008486,0.0,0.0
symmetric_wing_flap,0.8,10.3,0.31733863047852,-0.051166836392479986,0.105136682591912,-0.0061612636590880066,-0.04670155886860195,-0.0030867685585309126,0.0,0.0,-0.3310234022235552,0.05144393235511535,0.0,0.0,0.009941433966204264,0.02204962522178433,0.0,0.0
negative_rudder,0.8,10.3,0.3562842518347928,-0.012221215036207211,0.10392473312409654,-0.007373213126903463,-0.038545576552902625,0.005069213757168414,-0.046877939351932005,-0.046877939351932005,-0.3691247171195626,0.013342617459107975,-0.0032174808242135594,-0.0032174808242135594,-0.011406260036013756,0.0007019312195663107,0.028629201887653284,0.028629201887653284
positive_rudder,0.8,10.3,0.3562842518347928,-0.012221215036207211,0.10392473312409654,-0.007373213126903463,-0.038545576552902625,0.005069213757168414,0.046877939351932005,0.046877939351932005,-0.3691247171195626,0.013342617459107975,0.0032174808242135594,0.0032174808242135594,-0.011406260036013756,0.0007019312195663107,-0.028629201887653284,-0.028629201887653284
landing_gear_half,0.8,10.3,0.375169595374155,0.006664128503155009,0.1150396610984101,0.0037417148474100936,-0.04610464662646749,-0.0024898563163964493,0.0,0.0,-0.38969309780684186,-0.007225763228171311,0.0,0.0,-0.012407213961632135,-0.0002990227060520687,0.0,0.0
landing_gear_full,0.8,10.3,0.3804708407685,0.01196537389750002,0.116697168020277,0.005399221769276999,-0.046787568467779386,-0.0031727781577083475,0.0,0.0,-0.39520527974195246,-0.012737945163281916,0.0,0.0,-0.012437030364839296,-0.0003288391092592293,0.0,0.0
