mach,alpha_deg,source_alpha_max_deg,cl,cd,cx,cy,cz,c_roll,c_pitch,c_yaw,disposition
0.3,0.0,26.0,-0.053627,0.052497,-0.052497,0.0,0.053627,0.0,0.014681405000000002,0.0,valid
0.3,5.0,26.0,0.13075305,0.054946825000000005,-0.0433418565527033,0.0,-0.1350444265138255,0.0,0.002225671102292616,0.0,valid
0.3,10.0,26.0,0.31827340000000004,0.075492,-0.01907751098053962,0.0,-0.3265471601259876,0.0,-0.011950707401889818,0.0,valid
0.3,15.0,26.0,0.5040443499999999,0.11968687499999998,0.01484763372598931,0.0,-0.517846697958891,0.0,-0.026477487969383363,0.0,valid
0.5,0.0,26.0,-0.056059000000000005,0.05612433333333333,-0.05612433333333333,0.0,0.056059000000000005,0.0,0.017077218333333335,0.0,valid
0.5,5.0,26.0,0.1364764333333333,0.060276125,-0.048152051231797395,0.0,-0.1412105097454639,0.0,0.003741504853818043,0.0,valid
0.5,10.0,26.0,0.3324864666666666,0.0882708,-0.029194099169006775,0.0,-0.3427633137061704,0.0,-0.01054301637225922,0.0,valid
0.5,15.0,26.0,0.5210866999999999,0.1406479083333333,-0.0009882849630804547,0.0,-0.539733458596244,0.0,-0.023837181045610323,0.0,valid
0.8,0.0,26.0,-0.073425,0.060114,-0.060114,0.0,0.073425,0.0,0.026230375,0.0,valid
0.8,5.0,26.0,0.14434962499999998,0.067011625,-0.05417572675329135,0.0,-0.1496407790461342,0.0,0.0069957258143079825,0.0,valid
0.8,10.0,26.0,0.35623999999999995,0.107901,-0.044401314545703,0.0,-0.3695647259515084,0.0,-0.011134470889272633,0.0,valid
0.8,15.0,26.0,0.5503008749999999,0.17649187499999996,-0.028049713206100307,0.0,-0.5772292859478256,0.0,-0.02453947678921739,0.0,valid
1.2,0.0,15.0,-0.044418,0.15882,-0.15882,0.0,0.044418,0.0,0.02034627,0.0,valid
1.2,5.0,15.0,0.19931362499999994,0.1675509875,-0.1495420783809331,0.0,-0.21315820724611242,0.0,-0.017927948108691687,0.0,valid
1.2,10.0,15.0,0.404161,0.2138349,-0.14040444625054596,0.0,-0.4351529269717573,0.0,-0.04376989390457635,0.0,valid
1.2,15.0,15.0,0.576202875,0.29216066249999995,-0.13307325144164694,0.0,-0.6321859818292815,0.0,-0.05855731472743921,0.0,valid
2.0,0.0,19.285714285714285,-0.015098,0.13571,-0.13571,0.0,0.015098,0.0,-0.0021588299999999996,0.0,valid
2.0,5.0,19.285714285714285,0.1333550875,0.1428602,-0.13069391210808493,0.0,-0.1452987179711398,0.0,-0.0183801182695671,0.0,valid
2.0,10.0,19.285714285714285,0.26762369999999996,0.17664059999999998,-0.12748466457124696,0.0,-0.2942312129418064,0.0,-0.029567468194127103,0.0,valid
2.0,15.0,19.285714285714285,0.39469686249999997,0.23428339999999998,-0.12414532167360137,0.0,-0.4418848989153871,0.0,-0.037884185983730806,0.0,valid
3.0,0.0,30.0,-0.026367,0.11655,-0.11655,0.0,0.026367,0.0,0.004027605,0.0,valid
3.0,5.0,30.0,0.07417300639124999,0.118110475,-0.11119642552024148,0.0,-0.0841847618833921,0.0,-0.003852398928250884,0.0,valid
3.0,10.0,30.0,0.17741265113000002,0.1397038,-0.10677400180148353,0.0,-0.19897666459841937,0.0,-0.010838569968976294,0.0,valid
3.0,15.0,30.0,0.28335137256375,0.18306832499999998,-0.1034936914175423,0.0,-0.32107797773879976,0.0,-0.017671612166082,0.0,valid
4.0,0.0,30.0,-0.031811,0.10326,-0.10326,0.0,0.031811,0.0,0.007789865000000001,0.0,valid
4.0,5.0,30.0,0.04598264625,0.10289342500000001,-0.0984942327660791,0.0,-0.05477542127820375,0.0,0.003525579930826943,0.0,valid
4.0,10.0,30.0,0.13161816999999998,0.11965840000000001,-0.09498526466467977,0.0,-0.1503970573558194,0.0,-0.0009421658603372936,0.0,valid
4.0,15.0,30.0,0.22561244874999994,0.156993975,-0.09325173647556396,0.0,-0.25855792167629277,0.0,-0.006240815075144394,0.0,valid
