stage,thrust_n,specific_impulse_s,mass_flow_kg_s,burn_duration_s,ignition_time_s,burnout_time_s
stage1,17000000,360,4815.3511127426655,37.380451764705882,0,37.380451764705882
stage2,5000000,390,1307.3351437310405,61.193183999999995,134.17045176470589,195.36363576470589
