acceleration_ecic_x_m_s2,acceleration_ecic_y_m_s2,acceleration_ecic_z_m_s2,aero_force_body_x_n,aero_force_body_y_n,aero_force_body_z_n,aero_moment_body_x_nm,aero_moment_body_y_nm,aero_moment_body_z_nm,air_relative_speed_m_s,air_relative_velocity_m_s,angular_acceleration_body_x_rad_s2,angular_acceleration_body_y_rad_s2,angular_acceleration_body_z_rad_s2,attitude_quaternion,attitude_rate_rad_s,body_id,candidate_index,configuration_variant_id,deployment_time_s,drag_force_n,event_id,fidelity,force_body_x_n,force_body_y_n,force_body_z_n,force_ecic_x_n,force_ecic_y_n,force_ecic_z_n,gravity_force_body_x_n,gravity_force_body_y_n,gravity_force_body_z_n,heat_rate_w_m2,inertia_x_kg_m2,inertia_xz_kg_m2,inertia_y_kg_m2,inertia_z_kg_m2,mass_kg,mass_property_profile_id,moment_body_x_nm,moment_body_y_nm,moment_body_z_nm,parent_event_id,phase,pitch_deg,position_m,projected_area_m2,propellant_mass_rate_kg_s,propulsion_force_body_x_n,propulsion_force_body_y_n,propulsion_force_body_z_n,propulsion_moment_body_x_nm,propulsion_moment_body_y_nm,propulsion_moment_body_z_nm,query_id,roll_deg,rotation_equation_residual_nm,rotation_equation_residual_normalized,shape,speed_m_s,termination,time_s,total_force_body_x_n,total_force_body_y_n,total_force_body_z_n,total_force_ecic_n,total_force_ecic_x_n,total_force_ecic_y_n,total_force_ecic_z_n,total_moment_body_x_nm,total_moment_body_y_nm,total_moment_body_z_nm,translation_equation_residual_n,translation_equation_residual_normalized,velocity_m_s,wind_velocity_m_s,yaw_deg
,,,,,,,,,88.90262217750502,"[88.64913430969504, 0.0, -6.708741773079067]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,1257.3824798946678,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[4389.238669060977, 0.0, 4547.691130514409]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,88.90262217750502,,35.0,,,,,,,,,,,,,"[88.64913430969504, 0.0, -6.708741773079067]","[0.0, 0.0, 0.0]",
,,,,,,,,,89.33489854801758,"[87.81551546503984, 0.0, -16.406076380230026]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,1271.3685440970023,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[4477.470769320275, 0.0, 4536.126021341083]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,89.33489854801758,,36.0,,,,,,,,,,,,,"[87.81551546503984, 0.0, -16.406076380230026]","[0.0, 0.0, 0.0]",
,,,,,,,,,90.78498376700576,"[86.97938505578912, 0.0, -26.009610779330515]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,1316.2585202252976,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[4564.868849922944, 0.0, 4514.910198501724]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,90.78498376700576,,37.0,,,,,,,,,,,,,"[86.97938505578912, 0.0, -26.009610779330515]","[0.0, 0.0, 0.0]",
,,,,,,,,,93.16558581313747,"[86.13101376329848, 0.0, -35.5144315456628]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,1391.221774736007,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[4651.425443949342, 0.0, 4484.139664344322]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,93.16558581313747,,38.0,,,,,,,,,,,,,"[86.13101376329848, 0.0, -35.5144315456628]","[0.0, 0.0, 0.0]",
,,,,,,,,,96.3677342164995,"[85.26183121878292, 0.0, -44.912808142462694]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,1495.5596891098078,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[4737.123924104773, 0.0, 4443.916783544223]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,96.3677342164995,,39.0,,,,,,,,,,,,,"[85.26183121878292, 0.0, -44.912808142462694]","[0.0, 0.0, 0.0]",
,,,,,,,,,100.27180579223098,"[84.36450787107144, 0.0, -54.19469391468884]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,1628.6603379414767,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[4821.93970995599, 0.0, 4394.352851736243]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,100.27180579223098,,40.0,,,,,,,,,,,,,"[84.36450787107144, 0.0, -54.19469391468884]","[0.0, 0.0, 0.0]",
,,,,,,,,,104.75712635792486,"[83.43295429498775, 0.0, -63.348225392513726]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,1789.960357354965,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[4905.841514573148, 0.0, 4335.570159912169]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,104.75712635792486,,41.0,,,,,,,,,,,,,"[83.43295429498775, 0.0, -63.348225392513726]","[0.0, 0.0, 0.0]",
,,,,,,,,,109.70879528929984,"[82.46225850919748, 0.0, -72.36018024709298]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,1978.91295117329,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[4988.792557413688, 0.0, 4267.703577724893]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,109.70879528929984,,42.0,,,,,,,,,,,,,"[82.46225850919748, 0.0, -72.36018024709298]","[0.0, 0.0, 0.0]",
,,,,,,,,,115.02161423812903,"[81.44858682067567, 0.0, -81.21637425334761]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,2194.960903619393,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[5070.751694223168, 0.0, 4190.901708464325]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,115.02161423812903,,43.0,,,,,,,,,,,,,"[81.44858682067567, 0.0, -81.21637425334761]","[0.0, 0.0, 0.0]",
,,,,,,,,,120.60170461159157,"[80.38907030650589, 0.0, -89.90199402948325]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,2437.5135520035133,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[5151.674439022209, 0.0, 4105.327679416916]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,120.60170461159157,,44.0,,,,,,,,,,,,,"[80.38907030650589, 0.0, -89.90199402948325]","[0.0, 0.0, 0.0]",
,,,,,,,,,126.36659046201329,"[79.28169227526459, 0.0, -98.4018722126995]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,2705.926864482289,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[5231.5138720799705, 0.0, 4011.159629061493]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,126.36659046201329,,45.0,,,,,,,,,,,,,"[79.28169227526459, 0.0, -98.4018722126995]","[0.0, 0.0, 0.0]",
,,,,,,,,,132.24442280783737,"[78.12518542056978, 0.0, -106.70071586816859]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,2999.486001977135,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[5310.2214397034, 0.0, 3908.5909434275186]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,132.24442280783737,,46.0,,,,,,,,,,,,,"[78.12518542056978, 0.0, -106.70071586816859]","[0.0, 0.0, 0.0]",
,,,,,,,,,138.17282478774732,"[76.9189423907458, 0.0, -114.78329935715668]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,3317.3899730625876,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[5387.747657733158, 0.0, 3797.8302827064217]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,138.17282478774732,,47.0,,,,,,,,,,,,,"[76.9189423907458, 0.0, -114.78329935715668]","[0.0, 0.0, 0.0]",
,,,,,,,,,144.0976522123967,"[75.66294032938461, 0.0, -122.6346314620663]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,3658.73819113499,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[5464.042732637128, 0.0, 3679.101428599716]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,144.0976522123967,,48.0,,,,,,,,,,,,,"[75.66294032938461, 0.0, -122.6346314620663]","[0.0, 0.0, 0.0]",
,,,,,,,,,149.97182777642016,"[74.35767820863613, 0.0, -130.24010449174688]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,4022.5189052050373,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[5539.057113681672, 0.0, 3552.642974106335]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,149.97182777642016,,49.0,,,,,,,,,,,,,"[74.35767820863613, 0.0, -130.24010449174688]","[0.0, 0.0, 0.0]",
,,,,,,,,,155.75431976704112,"[73.00412499847575, 0.0, -137.58563100593256]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,4407.599598508108,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[5612.741988031862, 0.0, 3418.707870784481]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,155.75431976704112,,50.0,,,,,,,,,,,,,"[73.00412499847575, 0.0, -137.58563100593256]","[0.0, 0.0, 0.0]",
,,,,,,,,,161.4092856034832,"[71.60367649894576, 0.0, -144.65777196839832]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,4812.719535513293,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[5685.049728532969, 0.0, 3277.562843825009]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,161.4092856034832,,51.0,,,,,,,,,,,,,"[71.60367649894576, 0.0, -144.65777196839832]","[0.0, 0.0, 0.0]",
,,,,,,,,,166.90537421936546,"[70.15811874323595, 0.0, -151.44385863321241]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,5236.48469124359,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[5755.934301776, 0.0, 3129.4876822433157]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,166.90537421936546,,52.0,,,,,,,,,,,,,"[70.15811874323595, 0.0, -151.44385863321241]","[0.0, 0.0, 0.0]",
