acceleration_ecic_x_m_s2,acceleration_ecic_y_m_s2,acceleration_ecic_z_m_s2,aero_force_body_x_n,aero_force_body_y_n,aero_force_body_z_n,aero_moment_body_x_nm,aero_moment_body_y_nm,aero_moment_body_z_nm,air_relative_speed_m_s,air_relative_velocity_m_s,angular_acceleration_body_x_rad_s2,angular_acceleration_body_y_rad_s2,angular_acceleration_body_z_rad_s2,attitude_control_error_magnitude_rad,attitude_control_error_rad,attitude_quaternion,attitude_rate_rad_s,candidate_index,configuration_variant_id,drag_force_n,event_id,fidelity,force_body_x_n,force_body_y_n,force_body_z_n,force_ecic_x_n,force_ecic_y_n,force_ecic_z_n,gravity_force_body_x_n,gravity_force_body_y_n,gravity_force_body_z_n,heat_rate_w_m2,inertia_x_kg_m2,inertia_xz_kg_m2,inertia_y_kg_m2,inertia_z_kg_m2,left_wing_flap_deg,lower_left_body_flap_deg,lower_right_body_flap_deg,mass_kg,mass_property_profile_id,mission_bank_command_deg,mission_profile_id,mission_segment,moment_body_x_nm,moment_body_y_nm,moment_body_z_nm,pitch_deg,position_m,projected_area_m2,propellant_mass_rate_kg_s,propulsion_force_body_x_n,propulsion_force_body_y_n,propulsion_force_body_z_n,propulsion_moment_body_x_nm,propulsion_moment_body_y_nm,propulsion_moment_body_z_nm,pseudo6dof_profile_id,query_id,right_wing_flap_deg,roll_deg,rotation_equation_residual_nm,rotation_equation_residual_normalized,rudder_deg,specific_energy_j_per_kg,surface_allocation_achieved_bank_deg,surface_allocation_achieved_pitch_deg,surface_allocation_achieved_yaw_deg,surface_allocation_active,surface_allocation_requested_bank_deg,surface_allocation_requested_pitch_deg,surface_allocation_requested_yaw_deg,surface_allocation_residual_deg,surface_allocation_saturated,termination,time_s,total_force_body_x_n,total_force_body_y_n,total_force_body_z_n,total_force_ecic_n,total_force_ecic_x_n,total_force_ecic_y_n,total_force_ecic_z_n,total_moment_body_x_nm,total_moment_body_y_nm,total_moment_body_z_nm,translation_equation_residual_n,translation_equation_residual_normalized,upper_left_body_flap_deg,upper_right_body_flap_deg,velocity_m_s,wind_velocity_m_s,yaw_deg
2.523786163463105,0.0,-5.4353241374425725,-61124.61162150002,0.0,-3.4745319011051388e-12,0.0,0.0,0.0,250.0,"[125.00000000000003, 0.0, 216.50635094610965]",0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]","[0.8660254037844387, 0.0, -0.49999999999999994, 0.0]","[0.0, 0.0, 0.0]",0,nominal,61124.61162149999,,rigid_body_6dof_surface_allocated,58875.38837849998,0.0,-3.4745319011051388e-12,29437.694189250004,0.0,50987.581993456086,-99060.96209633096,0.0,-57192.87313250001,0.0,31190.760000000002,0.0,160480.6870520227,160480.6870520227,-0.0,14.999999999999998,14.999999999999998,11664.1,generic_slender_body_v1,0.0,none,unprofiled,0.0,0.0,0.0,-59.99999999999999,"[0.0, 0.0, 0.0]",26.612075808,100.0,120000.0,0.0,0.0,0.0,0.0,0.0,,query-000000,0.0,0.0,0.0,0.0,0.0,31250.0,0.0,59.99999999999999,0.0,1.0,0.0,59.99999999999999,0.0,0.0,0.0,,0.0,-40185.57371783098,0.0,-57192.87313250001,69899.24943932853,29437.694189250004,0.0,-63398.16427154391,0.0,0.0,0.0,2.9103830456733704e-11,2.544358139632906e-16,14.999999999999998,14.999999999999998,"[125.00000000000003, 0.0, 216.50635094610965]","[0.0, 0.0, 0.0]",0.0
2.5926126646720467,0.0,-5.118581184987518,-58059.291877860924,0.0,1142.13964303261,0.0,0.0,0.0,246.7588889695603,"[127.55865097783237, 0.0, 211.23148403163609]",0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]","[0.8660254037844387, 0.0, -0.49999999999999994, 0.0]","[0.0, 0.0, 0.0]",0,nominal,58070.524849727626,,rigid_body_6dof_surface_allocated,61940.708122139076,0.0,1142.13964303261,29981.232115534018,0.0,54213.29658368585,-98211.6812937287,0.0,-56702.54063250002,0.0,31190.760000000002,0.0,160480.6870520227,160480.6870520227,-0.0,14.999999999999998,14.999999999999998,11564.1,generic_slender_body_v1,0.0,none,unprofiled,0.0,0.0,0.0,-59.99999999999999,"[126.2735907274151, 0.0, 213.84252703182167]",26.612075808,100.0,120000.0,0.0,0.0,0.0,0.0,0.0,,query-000000,0.0,0.0,0.0,0.0,0.0,32542.05346046251,0.0,59.99999999999999,0.0,1.0,0.0,59.99999999999999,0.0,0.0,0.0,,1.0,-36270.97317158963,0.0,-55560.40098946741,66351.6514709663,29981.232115534018,0.0,-59191.78468131415,0.0,0.0,0.0,1.0289757937229989e-11,9.073454048487771e-17,14.999999999999998,14.999999999999998,"[127.55865097783237, 0.0, 211.23148403163609]","[0.0, 0.0, 0.0]",0.0
2.65628525598545,0.0,-4.825240365148808,-55317.599838121816,0.0,2181.552953920691,0.0,0.0,0.0,243.90881142204907,"[130.18350829121027, 0.0, 206.26139352362839]",0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]","[0.8660254037844387, 0.0, -0.49999999999999994, 0.0]","[0.0, 0.0, 0.0]",0,nominal,55360.59993480322,,rigid_body_6dof_surface_allocated,64682.400161878184,0.0,2181.552953920691,30451.919803142802,0.0,57107.37819489754,-97362.40049112642,0.0,-56212.20813250002,0.0,31190.760000000002,0.0,160480.6870520227,160480.6870520227,-0.0,14.999999999999998,14.999999999999998,11464.1,generic_slender_body_v1,0.0,none,unprofiled,0.0,0.0,0.0,-59.99999999999999,"[255.13936497638434, 0.0, 422.564524822452]",26.612075808,100.0,120000.0,0.0,0.0,0.0,0.0,0.0,,query-000000,0.0,0.0,0.0,0.0,0.0,33889.696542008445,0.0,59.99999999999999,0.0,1.0,0.0,59.99999999999999,0.0,0.0,0.0,,2.0000000000000004,-32680.000329248236,0.0,-54030.65517857933,63145.024511407115,30451.919803142802,0.0,-55317.038070102455,0.0,0.0,0.0,1.0289757937229989e-11,9.152600724183968e-17,14.999999999999998,14.999999999999998,"[130.18350829121027, 0.0, 206.26139352362839]","[0.0, 0.0, 0.0]",0.0
2.715283493746906,0.0,-4.552353563706763,-52860.94334145704,0.0,3132.442958518004,0.0,0.0,0.0,241.42597562360666,"[132.86966413118594, 0.0, 201.57418996358675]",0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]","[0.8660254037844387, 0.0, -0.49999999999999994, 0.0]","[0.0, 0.0, 0.0]",0,nominal,52953.67343100098,,rigid_body_6dof_surface_allocated,67139.05665854296,0.0,3132.442958518004,30856.753151289216,0.0,59710.350131679974,-96513.11968852417,0.0,-55721.87563250003,0.0,31190.760000000002,0.0,160480.6870520227,160480.6870520227,-0.0,14.999999999999998,14.999999999999998,11364.1,generic_slender_body_v1,0.0,none,unprofiled,0.0,0.0,0.0,-59.99999999999999,"[386.66103523654004, 0.0, 626.4595794967562]",26.612075808,100.0,120000.0,0.0,0.0,0.0,0.0,0.0,,query-000000,0.0,0.0,0.0,0.0,0.0,35286.720688177025,0.0,59.99999999999999,0.0,1.0,0.0,59.99999999999999,0.0,0.0,0.0,,2.999999999999997,-29374.063029981204,0.0,-52589.432673982024,60236.89905581623,30856.753151289216,0.0,-51733.401133320025,0.0,0.0,0.0,2.4404303740081994e-11,2.1898315036122087e-16,14.999999999999998,14.999999999999998,"[132.86966413118594, 0.0, 201.57418996358675]","[0.0, 0.0, 0.0]",0.0
2.770018236437169,0.0,-4.2973949401701494,-50656.35358368007,0.0,4006.881063701219,0.0,0.0,0.0,239.2889388148153,"[135.61265473465036, 0.0, 197.1507142136212]",0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]","[0.8660254037844387, 0.0, -0.49999999999999994, 0.0]","[0.0, 0.0, 0.0]",0,nominal,50814.57718266938,,rigid_body_6dof_surface_allocated,69343.64641631993,0.0,4006.881063701219,31201.762417051912,0.0,62056.79991942941,-95663.83888592188,0.0,-55231.54313250002,0.0,31190.760000000002,0.0,160480.6870520227,160480.6870520227,-0.0,14.999999999999998,14.999999999999998,11264.1,generic_slender_body_v1,0.0,none,unprofiled,0.0,0.0,0.0,-59.99999999999999,"[520.8976339320125, 0.0, 825.800788046071]",26.612075808,100.0,120000.0,0.0,0.0,0.0,0.0,0.0,,query-000000,0.0,0.0,0.0,0.0,0.0,36727.93741765222,0.0,59.99999999999999,0.0,1.0,0.0,59.99999999999999,0.0,0.0,0.0,,3.9999999999999933,-26320.192469601956,0.0,-51224.662068798796,57590.95880170364,31201.762417051912,0.0,-48406.28634557058,0.0,0.0,0.0,7.275957614183426e-12,6.586777411531365e-17,14.999999999999998,14.999999999999998,"[135.61265473465036, 0.0, 197.1507142136212]","[0.0, 0.0, 0.0]",0.0
2.820844168604346,0.0,-4.058189204782,-48675.52173750336,0.0,4815.162153800422,0.0,0.0,0.0,237.47822671726598,"[138.40839817674828, 0.0, 192.97415235964604]",0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]","[0.8660254037844387, 0.0, -0.49999999999999994, 0.0]","[0.0, 0.0, 0.0]",0,nominal,48913.10870293926,,rigid_body_6dof_surface_allocated,71324.47826249665,0.0,4815.162153800422,31492.18638271578,0.0,64176.39116389328,-94814.55808331963,0.0,-54741.21063250002,0.0,31190.760000000002,0.0,160480.6870520227,160480.6870520227,-0.0,14.999999999999998,14.999999999999998,11164.1,generic_slender_body_v1,0.0,none,unprofiled,0.0,0.0,0.0,-59.99999999999999,"[657.9039253207552, 0.0, 1020.8432901290304]",26.612075808,100.0,120000.0,0.0,0.0,0.0,0.0,0.0,,query-000000,0.0,0.0,0.0,0.0,0.0,38209.006933532444,0.0,59.99999999999999,0.0,1.0,0.0,59.99999999999999,0.0,0.0,0.0,,4.99999999999999,-23490.079820822983,0.0,-49926.048478699595,55176.02891370579,31492.18638271578,0.0,-45306.03010110672,0.0,0.0,0.0,1.4999770885397668e-11,1.3700620348074898e-16,14.999999999999998,14.999999999999998,"[138.40839817674828, 0.0, 192.97415235964604]","[0.0, 0.0, 0.0]",0.0
2.8680698912760434,0.0,-3.8328538779142507,-46894.02403701868,0.0,5566.090643945168,0.0,0.0,0.0,235.97602357190138,"[141.25314342125296, 0.0, 189.02971505671138]",0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]","[0.8660254037844387, 0.0, -0.49999999999999994, 0.0]","[0.0, 0.0, 0.0]",0,nominal,47223.202511489,,rigid_body_6dof_surface_allocated,73105.97596298132,0.0,5566.090643945168,31732.61208406727,0.0,66094.67767436894,-93965.27728071736,0.0,-54250.87813250002,0.0,31190.760000000002,0.0,160480.6870520227,160480.6870520227,-0.0,14.999999999999998,14.999999999999998,11064.1,generic_slender_body_v1,0.0,none,unprofiled,0.0,0.0,0.0,-59.99999999999999,"[797.73076101783, 0.0, 1211.8264481605047]",26.612075808,100.0,120000.0,0.0,0.0,0.0,0.0,0.0,,query-000000,0.0,0.0,0.0,0.0,0.0,39726.29968825649,0.0,59.99999999999999,0.0,1.0,0.0,59.99999999999999,0.0,0.0,0.0,,5.999999999999987,-20859.30131773604,0.0,-48684.78748855485,52965.26205230983,31732.61208406727,0.0,-42407.07859063106,0.0,0.0,0.0,3.637978807091713e-12,3.3529215860861003e-17,14.999999999999998,14.999999999999998,"[141.25314342125296, 0.0, 189.02971505671138]","[0.0, 0.0, 0.0]",0.0
2.9119660956847664,0.0,-3.6197524915971897,-45290.6942972117,0.0,6267.212668333892,0.0,0.0,0.0,234.76591982680867,"[144.14342846559447, 0.0, 185.30436892397222]",0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]","[0.8660254037844387, 0.0, -0.49999999999999994, 0.0]","[0.0, 0.0, 0.0]",0,nominal,45722.258742909995,,rigid_body_6dof_surface_allocated,74709.30570278829,0.0,6267.212668333892,31927.087469697348,0.0,67833.76297187925,-93115.99647811509,0.0,-53760.54563250002,0.0,31190.760000000002,0.0,160480.6870520227,160480.6870520227,-0.0,14.999999999999998,14.999999999999998,10964.1,generic_slender_body_v1,0.0,none,unprofiled,0.0,0.0,0.0,-59.99999999999999,"[940.4253892759505, 0.0, 1398.9757336815364]",26.612075808,100.0,120000.0,0.0,0.0,0.0,0.0,0.0,,query-000000,0.0,0.0,0.0,0.0,0.0,41276.78393477181,0.0,59.99999999999999,0.0,1.0,0.0,59.99999999999999,0.0,0.0,0.0,,6.999999999999983,-18406.690775326802,0.0,-47493.332964166126,50935.47821846427,31927.087469697348,0.0,-39687.32829312075,0.0,0.0,0.0,1.0913936421275139e-11,1.0150507489155122e-16,14.999999999999998,14.999999999999998,"[144.14342846559447, 0.0, 185.30436892397222]","[0.0, 0.0, 0.0]",0.0
2.9527722150721014,0.0,-3.417456415885104,-43847.11261746317,0.0,6925.005944740605,0.0,0.0,0.0,233.8327071596072,"[147.0760458699252, 0.0, 181.78661025735167]",0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]","[0.8660254037844387, 0.0, -0.49999999999999994, 0.0]","[0.0, 0.0, 0.0]",0,nominal,44390.59576332798,,rigid_body_6dof_surface_allocated,76152.88738253684,0.0,6925.005944740605,32079.212621764815,0.0,69412.83801718264,-92266.71567551284,0.0,-53270.21313250002,0.0,31190.760000000002,0.0,160480.6870520227,160480.6870520227,-0.0,14.999999999999998,14.999999999999998,10864.1,generic_slender_body_v1,0.0,none,unprofiled,0.0,0.0,0.0,-59.99999999999999,"[1086.0317262297713, 0.0, 1582.5043670010973]",26.612075808,100.0,120000.0,0.0,0.0,0.0,0.0,0.0,,query-000000,0.0,0.0,0.0,0.0,0.0,42857.933919446616,0.0,59.99999999999999,0.0,1.0,0.0,59.99999999999999,0.0,0.0,0.0,,7.99999999999998,-16113.828292976003,0.0,-46345.20718775942,49066.625026914786,32079.212621764815,0.0,-37127.58824781736,0.0,0.0,0.0,9.094947017729282e-12,8.536615946239271e-17,14.999999999999998,14.999999999999998,"[147.0760458699252, 0.0, 181.78661025735167]","[0.0, 0.0, 0.0]",0.0
2.9907018590942256,0.0,-3.224713529265409,-42547.18626835839,0.0,7545.03615689671,0.0,0.0,0.0,233.16221247422467,"[150.04801430701315, 0.0, 178.46627336389884]",0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]","[0.8660254037844387, 0.0, -0.49999999999999994, 0.0]","[0.0, 0.0, 0.0]",0,nominal,43211.00126082782,,rigid_body_6dof_surface_allocated,77452.81373164161,0.0,7545.03615689671,32192.213881476157,0.0,70848.6223646342,-91417.43487291055,0.0,-52779.880632500004,0.0,31190.760000000002,0.0,160480.6870520227,160480.6870520227,-0.0,14.999999999999998,14.999999999999998,10764.1,generic_slender_body_v1,0.0,none,unprofiled,0.0,0.0,0.0,-59.99999999999999,"[1234.59059578102, 0.0, 1762.6147484311355]",26.612075808,100.0,120000.0,0.0,0.0,0.0,0.0,0.0,,query-000000,0.0,0.0,0.0,0.0,0.0,44467.65458563994,0.0,59.99999999999999,0.0,1.0,0.0,59.99999999999999,0.0,0.0,0.0,,8.999999999999991,-13964.621141268944,0.0,-45234.84447560329,47341.33287467933,32192.213881476157,0.0,-34711.1389003658,0.0,0.0,0.0,1.1647215137477994e-11,1.1033764189972465e-16,14.999999999999998,14.999999999999998,"[150.04801430701315, 0.0, 178.46627336389884]","[0.0, 0.0, 0.0]",0.0
