shot_name,reference_id,section,identifier_kind,identifier,units,value,tolerance,issues
100065 ft,,output,signalName,AmbientPressure,lbf_ft2,23.20223608,2.5,
100065 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.013918,0.002,
103018 ft,,input,signalName,GeometricAltitude,ft,103018.3727,,
103018 ft,,output,signalName,AmbientTemperature,dgF,-49.4572,0.4,
103018 ft,,output,signalName,AmbientPressure,lbf_ft2,20.29560791,2.5,
103018 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.012126,0.002,
106299 ft,,input,signalName,GeometricAltitude,ft,106299.2126,,
106299 ft,,output,signalName,AmbientTemperature,dgF,-46.912,0.4,
106299 ft,,output,signalName,AmbientPressure,lbf_ft2,17.50240913,2.5,
106299 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.010393,0.002,
109580 ft,,input,signalName,GeometricAltitude,ft,109580.0525,,
109580 ft,,output,signalName,AmbientTemperature,dgF,-41.9242,0.4,
109580 ft,,output,signalName,AmbientPressure,lbf_ft2,15.11637108,2.5,
109580 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.0088688,0.002,
112860 ft,,input,signalName,GeometricAltitude,ft,112860.8924,,
112860 ft,,output,signalName,AmbientTemperature,dgF,-36.9364,0.4,
112860 ft,,output,signalName,AmbientPressure,lbf_ft2,13.07866284,2.5,
112860 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.0075829,0.002,
116141 ft,,input,signalName,GeometricAltitude,ft,116141.7323,,
116141 ft,,output,signalName,AmbientTemperature,dgF,-31.9522,0.4,
116141 ft,,output,signalName,AmbientPressure,lbf_ft2,11.33553243,2.5,
116141 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.0064956,0.002,
119422 ft,,input,signalName,GeometricAltitude,ft,119422.5722,,
119422 ft,,output,signalName,AmbientTemperature,dgF,-26.968,0.4,
119422 ft,,output,signalName,AmbientPressure,lbf_ft2,9.84148111,2.5,
119422 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.0055745,0.002,
122703 ft,,input,signalName,GeometricAltitude,ft,122703.4121,,
122703 ft,,output,signalName,AmbientTemperature,dgF,-21.9874,0.4,
122703 ft,,output,signalName,AmbientPressure,lbf_ft2,8.558416924,2.5,
122703 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.0047926,0.002,
125984 ft,,input,signalName,GeometricAltitude,ft,125984.252,,
125984 ft,,output,signalName,AmbientTemperature,dgF,-17.0068,0.4,
125984 ft,,output,signalName,AmbientPressure,lbf_ft2,7.454808194,2.5,
125984 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.0041277,0.002,
129265 ft,,input,signalName,GeometricAltitude,ft,129265.0919,,
129265 ft,,output,signalName,AmbientTemperature,dgF,-12.028,0.4,
129265 ft,,output,signalName,AmbientPressure,lbf_ft2,6.503990548,2.5,
129265 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.0035611,0.002,
132545 ft,,input,signalName,GeometricAltitude,ft,132545.9318,,
132545 ft,,output,signalName,AmbientTemperature,dgF,-7.0492,0.4,
132545 ft,,output,signalName,AmbientPressure,lbf_ft2,5.68310881,2.5,
132545 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.0030774,0.002,
135826 ft,,input,signalName,GeometricAltitude,ft,135826.7717,,
135826 ft,,output,signalName,AmbientTemperature,dgF,-2.074,0.4,
135826 ft,,output,signalName,AmbientPressure,lbf_ft2,4.973328622,2.5,
135826 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.0026638,0.002,
139107 ft,,input,signalName,GeometricAltitude,ft,139107.6115,,
139107 ft,,output,signalName,AmbientTemperature,dgF,2.8994,0.4,
139107 ft,,output,signalName,AmbientPressure,lbf_ft2,4.358566712,2.5,
139107 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.0023095,0.002,
142388 ft,,input,signalName,GeometricAltitude,ft,142388.4514,,
142388 ft,,output,signalName,AmbientTemperature,dgF,7.8728,0.4,
142388 ft,,output,signalName,AmbientPressure,lbf_ft2,3.825490894,2.5,
142388 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.0020055,0.002,
145669 ft,,input,signalName,GeometricAltitude,ft,145669.2913,,
145669 ft,,output,signalName,AmbientTemperature,dgF,12.8444,0.4,
145669 ft,,output,signalName,AmbientPressure,lbf_ft2,3.362461958,2.5,
145669 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.0017441,0.002,
152230 ft,,input,signalName,GeometricAltitude,ft,152230.9711,,
152230 ft,,output,signalName,AmbientTemperature,dgF,22.7804,0.4,
152230 ft,,output,signalName,AmbientPressure,lbf_ft2,2.60824115,2.5,
152230 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.0013251,0.002,
160761 ft,,input,signalName,GeometricAltitude,ft,160761.1549,,
160761 ft,,output,signalName,AmbientTemperature,dgF,27.5,0.4,
160761 ft,,output,signalName,AmbientPressure,lbf_ft2,1.886715941,2.5,
160761 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.0009492,0.002,
175524 ft,,input,signalName,GeometricAltitude,ft,175524.9344,,
175524 ft,,output,signalName,AmbientTemperature,dgF,17.1338,0.4,
175524 ft,,output,signalName,AmbientPressure,lbf_ft2,1.075801599,2.5,
175524 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.00055299,0.002,
188648 ft,,input,signalName,GeometricAltitude,ft,188648.294,,
188648 ft,,output,signalName,AmbientTemperature,dgF,-2.6626,0.4,
188648 ft,,output,signalName,AmbientPressure,lbf_ft2,0.640981876,2.5,
188648 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.00034377,0.002,
205052 ft,,input,signalName,GeometricAltitude,ft,205052.4934,,
205052 ft,,output,signalName,AmbientTemperature,dgF,-27.3928,0.4,
205052 ft,,output,signalName,AmbientPressure,lbf_ft2,0.325114879,2.5,
205052 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.00018434,0.002,
221456 ft,,input,signalName,GeometricAltitude,ft,221456.6929,,
221456 ft,,output,signalName,AmbientTemperature,dgF,-52.0852,0.4,
221456 ft,,output,signalName,AmbientPressure,lbf_ft2,0.158629735,2.5,
221456 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,9.549e-05,0.002,
237860 ft,,input,signalName,GeometricAltitude,ft,237860.8924,,
237860 ft,,output,signalName,AmbientTemperature,dgF,-75.757,0.4,
237860 ft,,output,signalName,AmbientPressure,lbf_ft2,0.074099443,2.5,
237860 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,4.7307e-05,0.002,
254265 ft,,input,signalName,GeometricAltitude,ft,254265.0919,,
254265 ft,,output,signalName,AmbientTemperature,dgF,-93.6994,0.4,
254265 ft,,output,signalName,AmbientPressure,lbf_ft2,0.033269095,2.5,
254265 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,2.2259e-05,0.002,
270669 ft,,input,signalName,GeometricAltitude,ft,270669.2913,,
270669 ft,,output,signalName,AmbientTemperature,dgF,-110.8948,0.4,
270669 ft,,output,signalName,AmbientPressure,lbf_ft2,0.014379292,2.5,
270669 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,1.0105e-05,0.002,
