time_s,north_m,east_m,altitude_m,speed_m_s,mach,mass_kg,phase_index,route_leg_index,phase,route_north_command_m,route_east_command_m,route_altitude_command_m,route_speed_command_m_s,route_heading_command_deg,route_flight_path_command_deg,route_bank_command_deg,route_bank_achieved_deg,route_pitch_achieved_deg,route_heading_achieved_deg,heading_rad,flight_path_angle_rad,p_rad_s,q_rad_s,r_rad_s,dynamic_pressure_pa,lift_n,drag_n,thrust_n,required_thrust_n,fuel_flow_kg_s,thrust_margin_n,side_force_n,roll_moment_nm,pitch_moment_nm,yaw_moment_nm,control_path,response_profile_id,allocation_status,allocation_residual_norm,saturation_count,throttle_ratio,flight_path_angle_command_rad,aileron_rad,elevator_rad,rudder_rad,control_effectivity_source
513.3999999999797,444.2216179263679,0.9960281489554035,10477.808468892496,230.34318239843736,0.7746605645383825,59639.78877924321,5,6,right-turn,0.0,0.0,10500.0,230.1542,0.0,0.0,0.0,-8.065221286721766e-13,0.14323944878289857,1.4617048171776554e-07,1.7763568394002505e-15,-4.33281374216317e-22,5.846746015134255e-15,-8.673617384027056e-19,1.9475891489600963e-10,10400.783500694864,584866.5346319654,33788.49635142984,33543.81557772586,33788.49635142984,0.7068177536982991,12448.258624937866,0.0,-4.330771664937552e-05,6.641162818795288e-10,0.00461553662687602,pseudo_6dof_kinematic_bridge,a320.attitude_response_p6dof.v1,surrogate_policy_overlay,0.0,0,0.7058932631530593,-4.33281374216317e-22,1.0267863720977175e-15,0.019999999999990952,-2.1497324239917736e-10,jsbsim-1.3.1-a320-coefficient-surrogate
513.5999999999798,444.2216179263679,0.9960281489554035,10477.808468892496,230.34236186979797,0.774657805041998,59639.64741569247,5,6,right-turn,0.0,0.0,10500.0,230.1542,0.0,0.0,0.0,-7.307585490748764e-13,0.14323944878289857,1.467602074445838e-07,1.7763568394002505e-15,-4.1161730550550113e-22,6.611619585348444e-15,-8.67361738359618e-19,5.1463990352108206e-11,10400.712763749874,584865.1483291006,33788.379017368046,33544.76049129887,33788.379017368046,0.7068365758358537,12448.40125767731,0.0,-4.4920414452021134e-05,6.641117651470255e-10,0.004567019564717012,pseudo_6dof_kinematic_bridge,a320.attitude_response_p6dof.v1,surrogate_policy_overlay,0.0,0,0.7059147086361945,-4.1161730550550113e-22,8.922474902367757e-16,0.019999999999990952,-2.1188285061193524e-10,jsbsim-1.3.1-a320-coefficient-surrogate
513.7999999999798,444.2216179263679,0.9960281489554035,10477.808468892496,230.34154490143337,0.7746550575190718,59639.5060483773,5,6,right-turn,0.0,0.0,10500.0,230.1542,0.0,0.0,0.0,-6.490111329286028e-13,0.14323944878289857,1.4584802436194007e-07,1.7763568394002505e-15,-3.9103644023022606e-22,7.133807833752238e-15,-8.673617383210118e-19,-7.960188685538192e-11,10400.642333732581,584863.7619893192,33788.26199005001,33545.701103506515,33788.26199005001,0.7068553122926723,12448.543473901998,0.0,-4.594593856644037e-05,6.641072680126305e-10,0.004477706638073206,pseudo_6dof_kinematic_bridge,a320.attitude_response_p6dof.v1,surrogate_policy_overlay,0.0,0,0.7059360563812267,-3.9103644023022606e-22,7.55866634062633e-16,0.019999999999990952,-2.069744660795148e-10,jsbsim-1.3.1-a320-coefficient-surrogate
513.9999999999799,444.2216179263679,0.9960281489554035,10477.808468892496,230.34073147790718,0.7746523219176903,59639.364677314836,5,6,right-turn,0.0,0.0,10500.0,230.1542,0.0,0.0,0.0,-5.638289730012251e-13,0.14323944878289857,1.4357647220843883e-07,1.7763568394002505e-15,-3.7148461821871477e-22,7.433545773465573e-15,-8.673617382864206e-19,-1.98231261487731e-10,10400.572209312224,584862.3756127895,33788.14526814762,33546.637432991665,33788.14526814762,0.70687396344011,12448.68527541597,0.0,-4.64263548727296e-05,6.64102790391371e-10,0.004352107166631432,pseudo_6dof_kinematic_bridge,a320.attitude_response_p6dof.v1,surrogate_policy_overlay,0.0,0,0.7059573068119457,-3.7148461821871477e-22,6.208381787864454e-16,0.019999999999990952,-2.0045818313736522e-10,jsbsim-1.3.1-a320-coefficient-surrogate
514.1999999999799,444.2216179263679,0.9960281489554035,10477.808468892496,230.33992158384993,0.7746495981861646,59639.22330252215,5,6,right-turn,0.0,0.0,10500.0,230.1542,0.0,0.0,0.0,-4.7750419944938e-13,0.14323944878289857,1.4008877772249572e-07,1.7763568394002505e-15,-3.52910387307779e-22,7.533257622591089e-15,-8.673617382554268e-19,-3.0435797248810017e-10,10400.502389163817,584860.9891996788,33788.02885033858,33547.569498316516,33788.02885033858,0.7068925296479149,12448.826664015418,0.0,-4.640538261014731e-05,6.640983321986438e-10,0.0041946884514250625,pseudo_6dof_kinematic_bridge,a320.attitude_response_p6dof.v1,surrogate_policy_overlay,0.0,0,0.7059784603503058,-3.52910387307779e-22,4.899119288224627e-16,0.019999999999990952,-1.925413230153221e-10,jsbsim-1.3.1-a320-coefficient-surrogate
514.39999999998,444.2216179263679,0.9960281489554035,10477.808468892496,230.33911520395858,0.7746468862730299,59639.081924016224,5,6,right-turn,0.0,0.0,10500.0,230.1542,0.0,0.0,0.0,-3.920557221378715e-13,0.14323944878289857,1.3552750608715273e-07,1.7763568394002505e-15,-3.3526486794239006e-22,7.45678634950748e-15,-8.673617382276564e-19,-3.9804518561765343e-10,10400.432871968105,584859.6027501537,33787.91273530626,33548.497317963025,33787.91273530626,0.7069110112842374,12448.967641488802,0.0,-4.592778864029402e-05,6.640938933502107e-10,0.004009832825733488,pseudo_6dof_kinematic_bridge,a320.attitude_response_p6dof.v1,surrogate_policy_overlay,0.0,0,0.7059995174164355,-3.3526486794239006e-22,3.6539133289598467e-16,0.019999999999990952,-1.8342651440863867e-10,jsbsim-1.3.1-a320-coefficient-surrogate
514.59999999998,444.2216179263679,0.9960281489554035,10477.808468892496,230.33831232299661,0.7746441861270442,59638.940541813965,5,6,right-turn,0.0,0.0,10500.0,230.1542,0.0,0.0,0.0,-3.0922100623053853e-13,0.14323944878289857,1.3003313604158066e-07,1.7763568394002505e-15,-3.1850162454527056e-22,7.228692637685411e-15,-8.673617382027742e-19,-4.794733275497865e-10,10400.363656411555,584858.21626438,33787.796921739726,33549.420910332905,33787.796921739726,0.706929408715629,12449.108209616803,0.0,-4.5038891389863545e-05,6.640894737622e-10,0.003801805815177369,pseudo_6dof_kinematic_bridge,a320.attitude_response_p6dof.v1,surrogate_policy_overlay,0.0,0,0.7060204784286386,-3.1850162454527056e-22,2.4914160222720943e-16,0.019999999999990952,-1.7331028923429162e-10,jsbsim-1.3.1-a320-coefficient-surrogate
514.7999999999801,444.2216179263679,0.9960281489554035,10477.808468892496,230.33751292579322,0.7746414976971875,59638.799155932225,5,6,right-turn,0.0,0.0,10500.0,230.1542,0.0,0.0,0.0,-2.304550149228305e-13,0.14323944878289857,1.2374288943695666e-07,1.7763568394002505e-15,-3.02576543318007e-22,6.873629434583694e-15,-8.673617381804796e-19,-5.489278643907581e-10,10400.294741186315,584856.8297425228,33787.681408333745,33550.340293748595,33787.681408333745,0.7069477223070619,12449.24837017242,0.0,-4.3784040229174924e-05,6.640850733511013e-10,0.0035747220637886226,pseudo_6dof_kinematic_bridge,a320.attitude_response_p6dof.v1,surrogate_policy_overlay,0.0,0,0.7060413438034143,-3.02576543318007e-22,1.4260626849712555e-16,0.019999999999990952,-1.6238157574755165e-10,jsbsim-1.3.1-a320-coefficient-surrogate
514.9999999999801,444.2216179263679,0.9960281489554035,10477.808468892496,230.3367169972435,0.7746388209326607,59638.65776638776,5,6,right-turn,0.0,0.0,10500.0,230.1542,0.0,0.0,0.0,-1.569354104951299e-13,0.14323944878289857,1.1678961168121601e-07,1.7763568394002505e-15,-2.8744771615210666e-22,6.415795810135887e-15,-8.673617381605037e-19,-6.067871577587996e-10,10400.226124990204,584855.4431847465,33787.566193788705,33551.25548645293,33787.566193788705,0.7069659524219233,12449.38812492098,0.0,-4.220817419164399e-05,6.640806920337673e-10,0.0033325190738078413,pseudo_6dof_kinematic_bridge,a320.attitude_response_p6dof.v1,surrogate_policy_overlay,0.0,0,0.7060621139554517,-2.8744771615210666e-22,4.6830725667855097e-17,0.019999999999990952,-1.5082055315286614e-10,jsbsim-1.3.1-a320-coefficient-surrogate
515.1999999999802,444.2216179263679,0.9960281489554035,10477.808468892496,230.33592452230806,0.7746361557828849,59638.51637319728,5,6,right-turn,0.0,0.0,10500.0,230.1542,0.0,0.0,0.0,-8.957308741563585e-14,0.14323944878289857,1.0930093207261653e-07,1.7763568394002505e-15,-2.730753303445013e-22,5.8784716476466835e-15,-8.673617381426052e-19,-6.535104353882816e-10,10400.157806526686,584854.0565912151,33787.45127681065,33552.16650660981,33787.45127681065,0.7069840994220276,12449.52747562014,0.0,-4.035539727382344e-05,6.640763297274109e-10,0.003078932427656781,pseudo_6dof_kinematic_bridge,a320.attitude_response_p6dof.v1,surrogate_policy_overlay,0.0,0,0.7060827892976435,-2.730753303445013e-22,-3.7508662316406736e-17,0.019999999999990952,-1.3879757416667597e-10,jsbsim-1.3.1-a320-coefficient-surrogate
