time_s,north_m,east_m,altitude_m,speed_m_s,mach,mass_kg,phase_index,route_leg_index,phase,route_north_command_m,route_east_command_m,route_altitude_command_m,route_speed_command_m_s,route_heading_command_deg,route_flight_path_command_deg,route_bank_command_deg,route_bank_achieved_deg,route_pitch_achieved_deg,route_heading_achieved_deg,heading_rad,flight_path_angle_rad,p_rad_s,q_rad_s,r_rad_s,dynamic_pressure_pa,lift_n,drag_n,thrust_n,required_thrust_n,fuel_flow_kg_s,thrust_margin_n,side_force_n,roll_moment_nm,pitch_moment_nm,yaw_moment_nm,control_path,allocation_status,allocation_residual_norm,saturation_count,throttle_ratio,flight_path_angle_command_rad,aileron_rad,elevator_rad,rudder_rad,control_effectivity_source
450.79999999998296,444.2216179263679,0.9960281489554035,10477.808468892496,230.89145369782113,0.7765044400543775,59683.72123353648,5,6,right-turn,0.0,0.0,10500.0,230.1542,0.0,0.0,0.0,0.0013171008981442988,0.14323944878285477,-0.15759237132582565,4.868572528948789e-05,-4.067069226498619e-15,0.00017914546485132035,-3.123357038887015e-16,0.0005940144801445847,10448.049415473753,585297.3648348605,33850.31305751587,32896.067695210826,33850.31305751587,0.6939149866159906,12369.53752551612,0.0,-290.3769195649741,-1.524878468238902e-10,-4618.849664086659,pseudo_6dof_kinematic_bridge,surrogate_policy_overlay,0.0,0,0.6911797974280768,-4.067069226498619e-15,-6.906176678910395e-06,0.019999999999989113,0.000209520290021418,jsbsim-1.3.1-a320-coefficient-surrogate
450.99999999998295,444.2216179263679,0.9960281489554035,10477.808468892496,230.888256024008,0.7764936860490905,59683.58245053916,5,6,right-turn,0.0,0.0,10500.0,230.1542,0.0,0.0,0.0,0.003151500119042956,0.1432394487828524,-0.149890233529824,4.3817152760361466e-05,-3.863715765173688e-15,0.00016008153100350165,-2.0629218359833155e-16,0.0006721383199131841,10447.773747245063,585296.0038385799,33849.99113944758,32899.882876248405,33849.99113944758,0.693990982838647,12369.958034803683,0.0,-279.83406367349556,-2.0966525729041542e-10,-4341.592608018033,pseudo_6dof_kinematic_bridge,surrogate_policy_overlay,0.0,0,0.6912665024095724,-3.863715765173688e-15,-9.004838374340214e-06,0.019999999999989117,0.00019627988124710935,jsbsim-1.3.1-a320-coefficient-surrogate
451.19999999998294,444.2216179263679,0.9960281489554035,10477.808468892496,230.88507220620016,0.7764829786425387,59683.44365234259,5,6,right-turn,0.0,0.0,10500.0,230.1542,0.0,0.0,0.0,0.004770944416661396,0.14323944878285116,-0.14145940717810596,3.943543748441414e-05,-3.670529976915003e-15,0.00014132317523044374,-1.0879303120927614e-16,0.0007357283925057972,10447.499273528592,585294.6426932454,33849.670413085056,32903.68133726935,33849.670413085056,0.6940666460081415,12370.376925174773,0.0,-267.5465228986429,-2.0965974916937687e-10,-4048.648995978251,pseudo_6dof_kinematic_bridge,surrogate_policy_overlay,0.0,0,0.6913528270084746,-3.670529976915003e-15,-1.0803585516483491e-05,0.01999999999998911,0.0001824007145377631,jsbsim-1.3.1-a320-coefficient-surrogate
451.3999999999829,444.2216179263679,0.9960281489554035,10477.808468892496,230.88190218443893,0.7764723176330762,59683.30483901339,5,6,right-turn,0.0,0.0,10500.0,230.1542,0.0,0.0,0.0,0.006180734840351372,0.14323944878285094,-0.13245706938979238,3.5491893735972724e-05,-3.4870034780692533e-15,0.00012302742328237971,-1.9959591886640747e-17,0.00078560217391408,10447.225989155359,585293.2813995107,33849.35087327754,32907.46315050238,33849.35087327754,0.6941419775632292,12370.794203628822,0.0,-253.81173513611,-2.477732221734576e-10,-3744.518267805756,pseudo_6dof_kinematic_bridge,surrogate_policy_overlay,0.0,0,0.6914387728706792,-3.4870034780692533e-15,-1.2314422089248276e-05,0.01999999999998911,0.00016808545735394806,jsbsim-1.3.1-a320-coefficient-surrogate
451.5999999999829,444.2216179263679,0.9960281489554035,10477.808468892496,230.87874589902438,0.7764617028199282,59683.16601061788,5,6,right-turn,0.0,0.0,10500.0,230.1542,0.0,0.0,0.0,0.0073877388732688535,0.14323944878285164,-0.12303039468641837,3.194270436246427e-05,-3.3126533041657907e-15,0.00010533097229630024,6.018565989477849e-17,0.0008226325554423956,10446.953888978696,585291.9199580259,33849.03251489648,32911.228387865565,33849.03251489648,0.6942169789364766,12371.209877135057,0.0,-238.9118624086593,-2.6682575108892117e-10,-3433.3615930486876,pseudo_6dof_kinematic_bridge,surrogate_policy_overlay,0.0,0,0.6915243416349809,-3.3126533041657907e-15,-1.3551030783843791e-05,0.019999999999989106,0.00015352087131499466,jsbsim-1.3.1-a320-coefficient-surrogate
451.7999999999829,444.2216179263679,0.9960281489554035,10477.808468892496,230.87560329051445,0.7764511340031867,59683.02716722209,5,6,right-turn,0.0,0.0,10500.0,230.1542,0.0,0.0,0.0,0.00840016511416202,0.14323944878285316,-0.11331608350650713,2.874843392630666e-05,-3.1470206389575013e-15,8.835085668587502e-05,1.3170923328146392e-16,0.0008477335732634629,10446.68296787416,585290.5583694385,33848.715332835425,32914.97712096742,33848.715332835425,0.6942916515542846,12371.623952632654,0.0,-223.1124963927858,-2.858773194539464e-10,-3118.994095604626,pseudo_6dof_kinematic_bridge,surrogate_policy_overlay,0.0,0,0.6916095349330971,-3.1470206389575013e-15,-1.4528468301141416e-05,0.019999999999989103,0.00013887753516679513,jsbsim-1.3.1-a320-coefficient-surrogate
451.9999999999829,444.2216179263679,0.9960281489554035,10477.808468892496,230.87247429972365,0.7764406109838067,59682.88830889178,5,6,right-turn,0.0,0.0,10500.0,230.1542,0.0,0.0,0.0,0.00922734707982433,0.14323944878285538,-0.10344004260951763,2.5873590533631585e-05,-2.9896696070096263e-15,7.218524406962996e-05,1.947577226790485e-16,0.0008618471535697861,10446.413220739432,585289.1966343935,33848.399322009995,32918.70942110847,33848.399322009995,0.6943659968369187,12372.036437030809,0.0,-206.66165919557852,-2.4775394602785643e-10,-2804.881317311464,pseudo_6dof_kinematic_bridge,surrogate_policy_overlay,0.0,0,0.6916943543897044,-2.9896696070096263e-15,-1.526287738369841e-05,0.019999999999989096,0.00012430975728173273,jsbsim-1.3.1-a320-coefficient-surrogate
452.1999999999829,444.2216179263679,0.9960281489554035,10477.808468892496,230.86935886772216,0.7764301335636029,59682.749435692414,5,6,right-turn,0.0,0.0,10500.0,230.1542,0.0,0.0,0.0,0.009879537378122085,0.14323944878285824,-0.09351720537613342,2.3286231480401653e-05,-2.840186126659145e-15,5.691434027429896e-05,2.495497992264007e-16,0.000865930904309773,10446.144642494231,585287.834753533,33848.08447735771,32922.425359282315,33848.08447735771,0.6944400161985308,12372.44733720892,0.0,-189.78907984194095,-2.4774757625110535e-10,-2494.1395317448955,pseudo_6dof_kinematic_bridge,surrogate_policy_overlay,0.0,0,0.6917788016224631,-2.840186126659145e-15,-1.5771216784162685e-05,0.019999999999989092,0.00010995565961235333,jsbsim-1.3.1-a320-coefficient-surrogate
452.39999999998287,444.2216179263679,0.9960281489554035,10477.808468892496,230.86625693583454,0.7764197015452458,59682.610547689175,5,6,right-turn,0.0,0.0,10500.0,230.1542,0.0,0.0,0.0,0.010367713272808797,0.14323944878286166,-0.08365147981232579,2.095760833231708e-05,-2.6981768203261875e-15,4.2601383455761116e-05,2.96369003122301e-16,0.0008609469709326592,10445.87722808021,585286.4727274961,33847.770793837946,32926.125006177135,33847.770793837946,0.6945137110471891,12372.856660016732,0.0,-172.70572612887742,-2.2868421607064607e-10,-2189.5395198673077,pseudo_6dof_kinematic_bridge,surrogate_policy_overlay,0.0,0,0.6918628782420511,-2.6981768203261875e-15,-1.6071010076738227e-05,0.019999999999989086,9.593741511379069e-05,jsbsim-1.3.1-a320-coefficient-surrogate
452.59999999998286,444.2216179263679,0.9960281489554035,10477.808468892496,230.86316844563885,0.7764093147322579,59682.47164494696,5,6,right-turn,0.0,0.0,10500.0,230.1542,0.0,0.0,0.0,0.010703394445298624,0.1432394487828655,-0.07393581200678838,1.8861847498996553e-05,-2.563267979309878e-15,2.929370848451241e-05,3.35535572676001e-16,0.0008478519611839259,10445.610972460865,585285.1105569191,33847.45826643181,32929.808432176775,33847.45826643181,0.6945870827848992,12373.264412274402,0.0,-155.60357098397813,-2.0962185486396936e-10,-1893.5134234090121,pseudo_6dof_kinematic_bridge,surrogate_policy_overlay,0.0,0,0.6919465858521904,-2.563267979309878e-15,-1.6180113939288893e-05,0.019999999999989082,8.236162091394589e-05,jsbsim-1.3.1-a320-coefficient-surrogate
