shape,fidelity,sample_id,classification,termination,downrange_m,crossrange_m,radius_m,speed_m_s,altitude_m
sphere,pseudo_6dof,sweep-sphere-0000,impact,ground_contact,382.3978224778316,-8.040194629590251e-05,382.39782247784007,33.900986138837425,-7.883960826707825
sphere,pseudo_6dof,sweep-sphere-0001,impact,ground_contact,346.12673299897904,-0.0007482913059736678,346.1267329997879,31.714868914824837,-7.852770367073467
sphere,pseudo_6dof,sweep-sphere-0002,impact,ground_contact,415.153066984761,-0.0012687531262456928,415.1530669866997,35.77800653910075,-1.9252354287758646
sphere,pseudo_6dof,sweep-sphere-0003,impact,ground_contact,403.81598862444537,-0.0007663693220521354,403.81598862517257,35.18895988227339,-5.174013704194895
sphere,pseudo_6dof,sweep-sphere-0004,impact,ground_contact,383.98189181309107,0.000775237265140708,383.98189181387363,33.775976277115944,-5.46359007420502
sphere,pseudo_6dof,sweep-sphere-0005,impact,ground_contact,417.4964628562751,-0.0003076741804077204,417.49646285638846,36.123795538727016,-1.177515242479876
sphere,pseudo_6dof,sweep-sphere-0006,impact,ground_contact,429.2303784084283,0.0015690847208969087,429.2303784112963,36.19554576985552,-1.6244066175968226
sphere,pseudo_6dof,sweep-sphere-0007,impact,ground_contact,411.12275488385905,-0.0012979836749347604,411.122754885908,35.13817723038,-4.9539149828719165
sphere,pseudo_6dof,sweep-sphere-0008,impact,ground_contact,398.7602143433744,-0.00015011833966632228,398.76021434340265,34.48933272515733,-4.229812371999402
sphere,pseudo_6dof,sweep-sphere-0009,impact,ground_contact,416.158232793709,0.00040256721801463786,416.15823279390366,35.56450763248766,-5.251954508739022
sphere,pseudo_6dof,sweep-sphere-0010,impact,ground_contact,383.0676627345812,0.00013671163703809485,383.06766273460556,34.13726345668944,-7.029472492159983
sphere,pseudo_6dof,sweep-sphere-0011,impact,ground_contact,406.2047343298452,-0.00021880806091250038,406.20473432990417,34.923530626149464,-7.53778950459302
sphere,pseudo_6dof,sweep-sphere-0012,impact,ground_contact,424.9701992602018,0.0011259495932067958,424.9701992616934,35.80630312715874,-2.272059193510276
sphere,pseudo_6dof,sweep-sphere-0013,impact,ground_contact,407.52989478817545,0.0007579500925889899,407.5298947888803,35.07009054182544,-1.226151280055409
sphere,pseudo_6dof,sweep-sphere-0014,impact,ground_contact,441.3330471119753,0.0011650821058500527,441.33304711351315,36.767246324916904,-7.188931607978446
sphere,pseudo_6dof,sweep-sphere-0015,impact,ground_contact,406.5574136869923,-0.000148177014590427,406.5574136870193,35.07817689065696,-1.9960527195352253
cylinder,pseudo_6dof,sweep-cylinder-0000,impact,ground_contact,251.29300790562894,8.412388778674053e-05,251.293007905643,38.28120480539898,-5.367717378441104
cylinder,pseudo_6dof,sweep-cylinder-0001,impact,ground_contact,241.60368505803717,-0.00015976396425204095,241.60368505809,37.74074031572795,-9.315490990758523
cylinder,pseudo_6dof,sweep-cylinder-0002,impact,ground_contact,316.07960111847933,-0.00025671827737207167,316.0796011185836,42.380672584150446,-0.2661744933493164
cylinder,pseudo_6dof,sweep-cylinder-0003,impact,ground_contact,227.78131429109607,0.0008866631655361625,227.78131429282178,36.610822404610836,-5.516516558968921
cylinder,pseudo_6dof,sweep-cylinder-0004,impact,ground_contact,267.3696322539764,-0.000823523759841406,267.3696322552447,39.038358843314775,-3.4601246203101557
cylinder,pseudo_6dof,sweep-cylinder-0005,impact,ground_contact,231.19831477445666,-0.0006154555710460155,231.19831477527583,37.15318006833588,-3.1168637039961777
cylinder,pseudo_6dof,sweep-cylinder-0006,impact,ground_contact,257.43922020246225,-0.000641507374699616,257.4392202032615,38.242383503048316,-3.21141171209163
cylinder,pseudo_6dof,sweep-cylinder-0007,impact,ground_contact,251.55301955608286,0.00022501506537012355,251.5530195561835,38.07439660414578,-3.2875699508595377
cylinder,pseudo_6dof,sweep-cylinder-0008,impact,ground_contact,258.44743792700325,-0.000526708877204655,258.44743792753997,38.8974431566139,-5.444848724435454
cylinder,pseudo_6dof,sweep-cylinder-0009,impact,ground_contact,252.21298652819365,-7.797351429031255e-05,252.2129865282057,38.4274145245537,-8.052032176493844
cylinder,pseudo_6dof,sweep-cylinder-0010,impact,ground_contact,243.59231651638603,0.0002696880240939251,243.59231651653533,38.241697193582766,-1.1234792397938917
cylinder,pseudo_6dof,sweep-cylinder-0011,impact,ground_contact,258.6988224574267,-0.00025406107826545535,258.69882245755144,38.64368964790392,-4.225566658926553
cylinder,pseudo_6dof,sweep-cylinder-0012,impact,ground_contact,253.33050097129146,-0.0008489345200098402,253.33050097271388,38.685021456340394,-2.180797851666672
cylinder,pseudo_6dof,sweep-cylinder-0013,impact,ground_contact,247.4112286622384,0.0008375130556139502,247.41122866365592,37.745602997518475,-5.930728091113847
cylinder,pseudo_6dof,sweep-cylinder-0014,impact,ground_contact,245.31505620143759,-0.000324065384986243,245.31505620165163,37.636695372426026,-5.576064367813491
cylinder,pseudo_6dof,sweep-cylinder-0015,impact,ground_contact,234.2725417027532,-0.00028615345884401246,234.27254170292795,37.602062624231095,-7.8259673142120265
cone,pseudo_6dof,sweep-cone-0000,impact,ground_contact,339.39802697777145,0.00019112560270990526,339.3980269778253,34.566922586855256,-2.465770214195586
cone,pseudo_6dof,sweep-cone-0001,impact,ground_contact,344.26231462788587,0.0003201784709764876,344.26231462803474,34.792168712714286,-0.029611997131379963
cone,pseudo_6dof,sweep-cone-0002,impact,ground_contact,334.21742230509994,-0.0002922238720786522,334.2174223052277,33.755242033834044,-5.254054822004228
