time_s,north_m,east_m,altitude_m,speed_m_s,phase_index,route_leg_index,phase,route_north_command_m,route_east_command_m,route_altitude_command_m,route_speed_command_m_s,route_heading_command_deg,route_flight_path_command_deg,route_bank_command_deg,route_bank_achieved_deg,route_pitch_achieved_deg,route_heading_achieved_deg,local_roll_deg,local_pitch_deg,local_heading_deg,aero_alpha_deg,aero_sideslip_deg,mach,dynamic_pressure_pa,source_aerodynamic_force_x_n,source_aerodynamic_force_y_n,source_aerodynamic_force_z_n,source_propulsion_force_x_n,source_total_force_x_n,source_total_force_y_n,source_total_force_z_n,source_total_moment_x_nm,source_total_moment_y_nm,source_total_moment_z_nm,u_m_s,v_m_s,w_m_s,p_rad_s,q_rad_s,r_rad_s,requested_force_x_n,requested_moment_x_nm,requested_moment_y_nm,requested_moment_z_nm,achieved_force_x_n,achieved_moment_x_nm,achieved_moment_y_nm,achieved_moment_z_nm,allocation_status,allocation_residual_norm,saturation_count,elevator_deg,aileron_deg,rudder_deg,throttle_fraction,commanded_elevator_deg,commanded_aileron_deg,commanded_rudder_deg,commanded_throttle_fraction,elevator_position_error_deg,aileron_position_error_deg,rudder_position_error_deg,throttle_position_error_fraction
0.0,0.0,0.0,0.0,152.4,0,1,outbound-climb,0.0,0.0,0.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,89.99999999999999,0.0,2.145234829781838,89.99999999999999,2.145234829781838,0.0,0.447869133900138,14225.778000000002,-5887.6448603245335,0.0,-91124.6369175022,9301.07504279294,3413.430182468406,0.0,-91124.6369175022,0.0,7.12527890341765e-10,0.0,152.29319080301542,0.0,5.704737946334209,0.0,0.0,0.0,3401.771483004136,6.72447341825633e-12,15707.85814257192,8.240998871563445e-12,3401.771483004136,6.72447341825633e-12,15707.85814257192,8.240998871563445e-12,direct_wrench,0.0,0,-0.7562951013162765,0.0,0.0,0.0893225837337992,-0.7562951013162765,0.0,0.0,0.0893225837337992,0.0,0.0,0.0,0.0
0.5,5.3377441355806354e-15,76.2,0.0,152.3574211813324,0,1,outbound-climb,0.0,76.2,3.0,152.4,90.0,2.4803417496106297,0.0,0.0,2.145234829781838,89.99999999999999,0.0,2.145234829781838,89.99999999999999,3.2917491795478413,-5.108450825579534e-16,0.4477440043815084,14217.830070778373,-3868.378518759324,4.61536175545861e-12,-134011.7278442895,9303.528841529076,5435.150322769752,4.61536175545861e-12,-134011.7278442895,-7.928968642772189e-12,-7200.895803950293,-8.660260162115634e-12,152.10604601878194,-1.3584078978090086e-15,8.748402914709533,2.66012883015364e-16,0.10378687795336063,4.8909252665503e-17,3758.8925282014907,-2.1814527422698972e-10,-62964.13980652463,-9.936772289311892e-11,3758.8925282014907,-2.1814527422698972e-10,-62964.13980652463,-9.936772289311892e-11,direct_wrench,0.0,0,-0.7562951013162765,0.0,0.0,0.0893225837337992,-0.7562951013162765,0.0,0.0,0.0893225837337992,0.0,0.0,0.0,0.0
1.0,2.2768245622195593e-14,152.3634594314566,0.0,152.38326020064443,0,1,outbound-climb,0.0,152.4,6.0,152.4,90.0,2.7061470753277423,0.0,7.184891797978677e-15,5.1178429020748215,90.00000000000001,7.184891797978677e-15,5.1178429020748215,90.00000000000001,0.3478977366614941,5.248295350141867e-15,0.44781993941562986,14222.653018493602,-8858.878832062868,-3.4835015784723465e-11,-5337.627433062585,9302.039750123657,443.1609180607884,-3.4835015784723465e-11,-5337.627433062585,3.600186848106315e-10,23360.137458627458,6.405108371738836e-11,152.38045112216346,1.3958311811917895e-14,0.9252595221093083,-8.295782310222093e-15,-0.3122374733124018,-9.278488656629318e-16,3488.552374880699,5.137712150669609e-09,225307.85983172836,6.51037577955021e-10,3488.552374880699,5.137712150669609e-09,225307.85983172836,6.51037577955021e-10,direct_wrench,0.0,0,-0.7562951013162765,0.0,0.0,0.0893225837337992,-0.7562951013162765,0.0,0.0,0.0893225837337992,0.0,0.0,0.0,0.0
1.5,2.6112792483878877e-14,228.2912086477495,6.335723817533513,151.93016310942798,0,1,outbound-climb,0.0,228.60000000000002,9.0,152.4,90.0,2.455074803811301,0.0,-2.2950690732724016e-13,-3.808999972077576,89.99999999999999,-2.2950690732724016e-13,-3.808999972077576,89.99999999999999,11.14608718672405,2.7435236572837924e-13,0.446520293956326,14129.911812047594,29773.299151810694,-1.7885970674481174e-09,-478213.8040641052,9322.612819766366,39095.91197157706,-1.7885970674481174e-09,-478213.8040641052,-1.1840073815248283e-08,-106051.38933353647,4.131316729969068e-09,149.06437844057567,7.274951144534611e-13,29.369806648703612,1.9361365005637281e-13,1.1764441240157812,-1.7744419391034118e-14,11787.962787116816,-1.1786438792625271e-07,-816081.5931534605,1.383063043065823e-08,11787.962787116816,-1.1786438792625271e-07,-816081.5931534605,1.383063043065823e-08,direct_wrench,0.0,0,-0.7562951013162765,0.0,0.0,0.0893225837337992,-0.7562951013162765,0.0,0.0,0.0893225837337992,0.0,0.0,0.0,0.0
2.0,-3.724572733565523e-13,301.68323224174,0.0,149.1564386360954,0,1,outbound-climb,0.0,304.8,12.0,152.4,90.0,3.1578874740402103,0.0,5.553109884252546e-12,28.96938291248608,90.00000000000102,5.553109884252546e-12,28.96938291248608,90.00000000000102,-29.85989806025476,1.8868859054633075e-11,0.4383370406008998,13626.681451794519,-4033.3303102801547,-1.581110947940091e-07,457579.3455636892,9488.000068530839,5454.669758250684,-1.581110947940091e-07,457579.3455636892,1.9618904042305643e-07,410884.5667188486,2.868345501726935e-07,129.35524029420816,4.9120752726174146e-11,-74.26213702170817,-4.753714717937563e-12,-4.215669806466545,-2.02230527414788e-12,81334.41174477269,3.0691930458841265e-06,3037509.892763185,1.5495407141351261e-06,81334.41174477269,3.0691930458841265e-06,3037509.892763185,1.5495407141351261e-06,direct_wrench,0.0,0,-0.7562951013162765,0.0,0.0,0.0893225837337992,-0.7562951013162765,0.0,0.0,0.0893225837337992,0.0,0.0,0.0,0.0
2.5,-2.921871598837722e-11,340.284158487013,63.81127870257591,1033.3516905548067,0,1,outbound-climb,0.0,381.0,15.0,152.4,90.0,-1.416335133029374,0.0,-1.6562687108063314e-10,-64.03807300491938,90.00000000008096,-1.6562687108063314e-10,-64.03807300491938,90.00000000008096,-176.89873650633635,1.1830824537903746e-09,3.038974575074477,650175.8091346595,-556417.2585855895,-0.00045243537862511667,9836562.693185942,-3733.4973190703795,-560150.7559046599,-0.00045243537862511667,9836562.693185942,-8.528429076787251e-05,-14307394.659271682,0.0008019143348871117,-1031.8383237853025,2.1337352665057475e-08,-55.90518706179542,2.797163350837461e-10,15.85413637977141,-3.0037343315764866e-10,2569134.003545702,-0.00012320473219365328,-10626277.079759186,0.0002650537795587182,2569134.003545702,-0.00012320473219365328,-10626277.079759186,0.0002650537795587182,direct_wrench,0.0,0,-0.7562951013162765,0.0,0.0,0.0893225837337992,-0.7562951013162765,0.0,0.0,0.0893225837337992,0.0,0.0,0.0,0.0
3.0,-1.0333495259126635e-08,139.56002705113295,539.9034464100806,67728383.65874688,0,1,outbound-climb,0.0,457.20000000000005,18.0,152.4,90.0,-4.516153627315858,0.0,3.4405351752651115e-08,87.64150813930108,90.0000000318465,3.4405351752651115e-08,87.64150813930108,90.0000000318465,92.87919508468377,1.008076533482386e-08,200261.43927158654,2669273804722981.5,1.0402371411480236e+16,-14998522.807575002,-1.6539542004596234e+17,-2705.393548033015,1.040237141147753e+16,-14998522.807575002,-1.6539542004596234e+17,-20570842.303700257,9202988176373100.0,-45256750.425365835,-3402016.1828257614,0.011916304271850484,67642887.57081711,-8.636221432164923e-08,-54.35709880999216,-1.0888512896917692e-07,-72065648316.38806,25.571988662918468,-219545888007.12784,31.347938003150126,-72065648316.38806,25.571988662918468,-219545888007.12784,31.347938003150126,direct_wrench,0.0,0,-0.7562951013162765,0.0,0.0,0.0893225837337992,-0.7562951013162765,0.0,0.0,0.0893225837337992,0.0,0.0,0.0,0.0
3.5,-0.004392997450666547,33722933.77894157,0.0,8.481049016448954e+77,0,1,outbound-climb,0.0,533.4,21.0,152.4,90.0,3.8358755601909147,0.0,-1.7759594828954083e-06,-83.94116356739416,90.00000154056664,-1.7759594828954083e-06,-83.94116356739416,90.00000154056664,90.0,5.862334940090335e-09,2.4923885023370147e+75,4.405601785688849e+155,1.7169184774248443e+156,-1.439650402902342e+147,-2.7298899641687353e+157,-3871.295461360216,1.7169184774248443e+156,-1.439650402902342e+147,-2.7298899641687353e+157,-1.9746244926208526e+147,1.518589305209672e+156,-4.344173883765876e+147,-1.0481613732782137e+46,8.677558870875509e+67,8.481049016448954e+77,278422036084.23334,5018201026941.621,1680221841711.9016,-1.0297012510840212e+81,1.8581768190733516e+71,-2.746603975889951e+81,2.277238992063649e+71,-1.0297012510840212e+81,1.8581768190733516e+71,-2.746603975889951e+81,2.277238992063649e+71,direct_wrench,0.0,0,-0.7562951013162765,0.0,0.0,0.0893225837337992,-0.7562951013162765,0.0,0.0,0.0893225837337992,0.0,0.0,0.0,0.0
