variable_id,name,units,symbol,axis_system,sign,alias,initial_value,minimum_value,maximum_value,roles,has_calculation,description
XIXX,bodyMomentOfInertia_Roll,slugft2,,,,,3.6,,,isOutput;isStdAIAA,False,Rolling moment of inertia about the body X axis
XIYY,bodyMomentOfInertia_Pitch,slugft2,,,,,3.6,,,isOutput;isStdAIAA,False,Pitching moment of inertia about the body Y axis
XIZZ,bodyMomentOfInertia_Yaw,slugft2,,,,,3.6,,,isOutput;isStdAIAA,False,Yawing moment of inertia about the body Z axis
XIZX,bodyProductOfInertia_ZX,slugft2,,,,,0.0,,,isOutput;isStdAIAA,False,Cross-product of inertia in the body X-Z plane
XIXY,bodyProductOfInertia_XY,slugft2,,,,,0.0,,,isOutput;isStdAIAA,False,Cross-product of inertia in the body X-Y plane
XIYZ,bodyProductOfInertia_YZ,slugft2,,,,,0.0,,,isOutput;isStdAIAA,False,Cross-product of inertia in the body Y-Z plane
XMASS,totalMass,slug,,,,,1.0,,,isOutput;isStdAIAA,False,Total mass of vehicle (32.174 lbm)
DXCG,bodyPositionOfCmWrtMrc_X,ft,,,FWD,,0.0,,,isOutput;isStdAIAA,False,"Longitudinal location of the center of mass relative to the geometric center of the cannonball, positive if the CM is in front of the center"
DYCG,bodyPositionOfCmWrtMrc_Y,ft,,,RT,,0.0,,,isOutput;isStdAIAA,False,"Longitudinal location of the center of mass relative to the geometric center of the cannonball, positive if the CM is to the right of the center"
DZCG,bodyPositionOfCmWrtMrc_Z,ft,,,DOWN,,0.0,,,isOutput;isStdAIAA,False,"Vertical location of the center of mass relative to the geometric center of the cannonball, positive if the CM is below the center"
