shot_name,reference_id,section,identifier_kind,identifier,units,value,tolerance,issues
Negative sideslip,NOTE1,internal,varID,dcnda,,-0.008298,,
Negative sideslip,NOTE1,internal,varID,dcndr,,-0.04383,,
Negative sideslip,NOTE1,internal,varID,cx,,-0.004,,
Negative sideslip,NOTE1,internal,varID,cy,,0.0468,,
Negative sideslip,NOTE1,internal,varID,cz,,-0.41530612733377154,,
Negative sideslip,NOTE1,internal,varID,cl,,0.0056159999999999995,,
Negative sideslip,NOTE1,internal,varID,cm,,-0.04653061273337714,,
Negative sideslip,NOTE1,internal,varID,cn,,-0.010657919999999998,,
Negative sideslip,NOTE1,output,signalName,aeroBodyForceCoefficient_X,nd,-0.004,1e-06,
Negative sideslip,NOTE1,output,signalName,aeroBodyForceCoefficient_Y,nd,0.0468,1e-06,
Negative sideslip,NOTE1,output,signalName,aeroBodyForceCoefficient_Z,nd,-0.41530612733219,1e-06,
Negative sideslip,NOTE1,output,signalName,aeroBodyMomentCoefficient_Roll,nd,0.005616,1e-06,
Negative sideslip,NOTE1,output,signalName,aeroBodyMomentCoefficient_Pitch,nd,-0.04653061273322,1e-06,
Negative sideslip,NOTE1,output,signalName,aeroBodyMomentCoefficient_Yaw,nd,-0.01065792,1e-06,
Positive roll rate,NOTE1,input,signalName,trueAirspeed,f_s,300.0,,
Positive roll rate,NOTE1,input,signalName,angleOfAttack,deg,5.0,,
Positive roll rate,NOTE1,input,signalName,angleOfSideslip,deg,0.0,,
Positive roll rate,NOTE1,input,signalName,bodyAngularRate_Roll,rad_s,3.42,,
Positive roll rate,NOTE1,input,signalName,bodyAngularRate_Pitch,rad_s,0.0,,
Positive roll rate,NOTE1,input,signalName,bodyAngularRate_Yaw,rad_s,0.0,,
Positive roll rate,NOTE1,input,signalName,elevatorDeflection,deg,0.0,,
Positive roll rate,NOTE1,input,signalName,aileronDeflection,deg,0.0,,
Positive roll rate,NOTE1,input,signalName,rudderDeflection,deg,0.0,,
Positive roll rate,NOTE1,input,signalName,bodyPositionOfCgWrtWingLeadingEdge_X,fracMAC,0.25,,
Positive roll rate,NOTE1,internal,varID,vt,,300.0,,
Positive roll rate,NOTE1,internal,varID,alpha,,5.0,,
Positive roll rate,NOTE1,internal,varID,beta,,0.0,,
Positive roll rate,NOTE1,internal,varID,p,,3.42,,
Positive roll rate,NOTE1,internal,varID,q,,0.0,,
Positive roll rate,NOTE1,internal,varID,r,,0.0,,
Positive roll rate,NOTE1,internal,varID,el,,0.0,,
Positive roll rate,NOTE1,internal,varID,ail,,0.0,,
Positive roll rate,NOTE1,internal,varID,rdr,,0.0,,
Positive roll rate,NOTE1,internal,varID,xcg,,0.25,,
Positive roll rate,NOTE1,internal,varID,rtd,,57.29577957855229,,
Positive roll rate,NOTE1,internal,varID,xcgr,,0.35,,
Positive roll rate,NOTE1,internal,varID,cbar,,11.32,,
Positive roll rate,NOTE1,internal,varID,bspan,,30.0,,
Positive roll rate,NOTE1,internal,varID,del,,0.0,,
Positive roll rate,NOTE1,internal,varID,dail,,0.0,,
Positive roll rate,NOTE1,internal,varID,drdr,,0.0,,
Positive roll rate,NOTE1,internal,varID,cxt,,-0.004,,
Positive roll rate,NOTE1,internal,varID,cy0,,0.0,,
Positive roll rate,NOTE1,internal,varID,czt,,-0.416,,
Positive roll rate,NOTE1,internal,varID,cz1,,-0.416,,
Positive roll rate,NOTE1,internal,varID,cl1,,0.0,,
Positive roll rate,NOTE1,internal,varID,cn1,,0.0,,
Positive roll rate,NOTE1,internal,varID,tvt,,600.0,,
Positive roll rate,NOTE1,internal,varID,b2v,,0.05,,
Positive roll rate,NOTE1,internal,varID,cq2v,,0.0,,
Positive roll rate,NOTE1,internal,varID,absbeta,,0.0,,
Positive roll rate,NOTE1,internal,varID,absCl0,,0.0,,
Positive roll rate,NOTE1,internal,varID,absCn0,,0.0,,
Positive roll rate,NOTE1,internal,varID,clt,,0.0,,
Positive roll rate,NOTE1,internal,varID,cmt,,-0.005,,
Positive roll rate,NOTE1,internal,varID,cnt,,0.0,,
Positive roll rate,NOTE1,internal,varID,cxq,,1.34,,
Positive roll rate,NOTE1,internal,varID,cyr,,0.958,,
Positive roll rate,NOTE1,internal,varID,cyp,,0.11,,
Positive roll rate,NOTE1,internal,varID,czq,,-31.4,,
Positive roll rate,NOTE1,internal,varID,clr,,0.113,,
Positive roll rate,NOTE1,internal,varID,clp,,-0.42,,
Positive roll rate,NOTE1,internal,varID,cmq,,-5.26,,
