table_id,declared_id,name,function_name,source_kind,dimensions,point_index,independent_values,dependent_value,modification_id,issues
yawMomentCoefficientTable1,yawMomentCoefficientTable1,yawMomentCoefficientTable1,,top-level-definition,3,32,"[2.0406858,5.3253471,5.2880688]",0.00491779,,
yawMomentCoefficientTable1,yawMomentCoefficientTable1,yawMomentCoefficientTable1,,top-level-definition,3,33,"[4.0179983,5.0826426,-4.9597629]",0.0243518,,
yawMomentCoefficientTable1,yawMomentCoefficientTable1,yawMomentCoefficientTable1,,top-level-definition,3,34,"[4.2863811,4.8806558,-0.2877697]",0.0128886,,
yawMomentCoefficientTable1,yawMomentCoefficientTable1,yawMomentCoefficientTable1,,top-level-definition,3,35,"[3.9289361,5.2246849,4.9758705]",0.00471241,,
yawMomentCoefficientTable1,yawMomentCoefficientTable1,yawMomentCoefficientTable1,,top-level-definition,3,36,"[-2.2809763,9.9844584,-4.880079]",0.0386951,,
yawMomentCoefficientTable1,yawMomentCoefficientTable1,yawMomentCoefficientTable1,,top-level-definition,3,37,"[-2.073307,9.9204337,0.0241722]",0.027546,,
yawMomentCoefficientTable1,yawMomentCoefficientTable1,yawMomentCoefficientTable1,,top-level-definition,3,38,"[-1.7624546,9.9153493,5.1985794]",0.0188357,,
yawMomentCoefficientTable1,yawMomentCoefficientTable1,yawMomentCoefficientTable1,,top-level-definition,3,39,"[0.2279962,9.8962508,-4.7811258]",0.0375762,,
yawMomentCoefficientTable1,yawMomentCoefficientTable1,yawMomentCoefficientTable1,,top-level-definition,3,40,"[-0.2800363,10.3004593,0.1413907]",0.028144,,
yawMomentCoefficientTable1,yawMomentCoefficientTable1,yawMomentCoefficientTable1,,top-level-definition,3,41,"[0.0828562,9.9008011,5.2962722]",0.0179398,,
yawMomentCoefficientTable1,yawMomentCoefficientTable1,yawMomentCoefficientTable1,,top-level-definition,3,42,"[1.826223,10.0939436,-4.6710211]",0.037712,,
yawMomentCoefficientTable1,yawMomentCoefficientTable1,yawMomentCoefficientTable1,,top-level-definition,3,43,"[1.7762123,10.1556398,-0.1307093]",0.0278079,,
yawMomentCoefficientTable1,yawMomentCoefficientTable1,yawMomentCoefficientTable1,,top-level-definition,3,44,"[2.2258599,9.800972,4.6721747]",0.018244,,
yawMomentCoefficientTable1,yawMomentCoefficientTable1,yawMomentCoefficientTable1,,top-level-definition,3,45,"[3.7892651,9.8017197,-4.8026383]",0.0368199,,
yawMomentCoefficientTable1,yawMomentCoefficientTable1,yawMomentCoefficientTable1,,top-level-definition,3,46,"[4.0150716,9.6815531,-0.0630955]",0.0252014,,
