time_s,north_m,east_m,altitude_m,speed_m_s,mach,mass_kg,phase_index,route_leg_index,phase,route_north_command_m,route_east_command_m,route_altitude_command_m,route_speed_command_m_s,route_heading_command_deg,route_flight_path_command_deg,route_bank_command_deg,route_bank_achieved_deg,route_pitch_achieved_deg,route_heading_achieved_deg,heading_rad,flight_path_angle_rad,p_rad_s,q_rad_s,r_rad_s,dynamic_pressure_pa,lift_n,drag_n,thrust_n,required_thrust_n,fuel_flow_kg_s,thrust_margin_n,side_force_n,roll_moment_nm,pitch_moment_nm,yaw_moment_nm,control_path,response_profile_id,allocation_status,allocation_residual_norm,saturation_count,throttle_ratio,flight_path_angle_command_rad,aileron_rad,elevator_rad,rudder_rad,control_effectivity_source
0.0,0.0,0.0,10500.0,231.85534691678674,0.78,60000.0,0,1,outbound-climb,0.0,0.0,10500.0,230.1542,90.0,0.9956804921916612,0.0,0.0,0.1432394487829405,90.0,1.5707963267948966,7.778053681881626e-26,0.0,0.0,0.0,10499.33163232439,588399.0,33989.52706617285,31791.936886281106,33989.52706617285,0.6719213328494877,12131.057185444799,0.0,-2.4427449171225928e-36,8.044905946264786e-10,2.040408743622973e-19,pseudo_6dof_kinematic_bridge,a320.attitude_response_p6dof.v1,surrogate_policy_overlay,0.0,0,0.6672473169433143,7.778053681881626e-26,2.3409907592003427e-28,0.01999999999998898,-9.363963036801382e-27,jsbsim-1.3.1-a320-coefficient-surrogate
1.0,1.4196911442703868e-14,231.85315884691505,10501.007286756942,231.77268989052328,0.7797334533111531,59999.32807866715,0,1,outbound-climb,0.0,230.1542,10504.0,230.1542,90.0,0.9956804921916612,0.0,0.0,0.48840868607604976,90.0,1.5707963267948966,0.004344475721655545,0.0,0.0060243396673623556,0.0,10490.785446737762,588392.4107026613,33980.235638381,31903.219807950893,33980.235638381,0.6741380249565605,12160.26590562686,0.0,-2.4407565856617354e-36,-14584.792511842845,2.0387479034470235e-19,pseudo_6dof_kinematic_bridge,a320.attitude_response_p6dof.v1,surrogate_policy_overlay,0.0,0,0.6695214450998482,0.004344475721655545,2.3409907592003427e-28,0.021390232230918755,-9.363963036801382e-27,jsbsim-1.3.1-a320-coefficient-surrogate
2.0,2.8388485414818557e-14,463.61915018409763,10502.769398723218,231.65729528435003,0.7793653936575934,59998.65421476379,0,1,outbound-climb,0.0,460.3084,10508.0,230.1542,90.0,0.9956804921916612,0.0,0.0,0.8796004883415734,90.0,1.5707963267948966,0.007602832512897203,0.0,0.0068275849563440025,0.0,10478.348145742893,588385.8023552133,33966.62514060985,32034.396581283574,33966.62514060985,0.6767509912025459,12187.14192599069,0.0,-2.4378629582526913e-36,-9004.752044566032,2.0363308755269919e-19,pseudo_6dof_kinematic_bridge,a320.attitude_response_p6dof.v1,surrogate_policy_overlay,0.0,0,0.6723598340094286,0.007602832512897203,2.3409907592003427e-28,0.020667311470835274,-9.363963036801382e-27,jsbsim-1.3.1-a320-coefficient-surrogate
3.0,4.25726878077938e-14,695.2647544979429,10505.09672777902,231.5182600959288,0.778924239721049,59997.97794363227,0,1,outbound-climb,0.0,690.4626000000001,10512.0,230.1542,90.0,0.9956804921916612,0.0,0.0,1.1572699636751413,90.0,1.5707963267948966,0.010046600106328447,0.0,0.004846246576855939,0.0,10463.077270263664,588379.1704009214,33949.87154859546,32194.23662841089,33949.87154859546,0.6799349134571449,12212.098770157172,0.0,-2.43431007938733e-36,-3209.0529111212363,2.0333631792067165e-19,pseudo_6dof_kinematic_bridge,a320.attitude_response_p6dof.v1,surrogate_policy_overlay,0.0,0,0.6759415702402725,0.010046600106328447,2.3409907592003427e-28,0.020088974862768488,-9.363963036801382e-27,jsbsim-1.3.1-a320-coefficient-surrogate
4.0,5.674809233559774e-14,926.7666787698785,10507.846967084459,231.36263495655294,0.778432069573449,59997.29864291743,0,1,outbound-climb,0.0,920.6168,10516.0,230.1542,90.0,0.9956804921916612,0.0,0.0,1.2841899706324003,90.0,1.5707963267948966,0.01187942580140188,0.0,0.0022151720080582763,0.0,10445.786071981049,588372.5087365662,33930.877560567686,32374.20767825624,33930.877560567686,0.6835198337639421,12235.44416255669,0.0,-2.4302871579105214e-36,678.176093110928,2.030002859388363e-19,pseudo_6dof_kinematic_bridge,a320.attitude_response_p6dof.v1,surrogate_policy_overlay,0.0,0,0.6800502759883434,0.01187942580140188,2.3409907592003427e-28,0.019780528671799535,-9.363963036801382e-27,jsbsim-1.3.1-a320-coefficient-surrogate
5.0,7.091372352544335e-14,1158.108992320337,10510.91336809551,231.195683115619,0.777905358440196,59996.61587295505,0,1,outbound-climb,0.0,1150.771,10520.0,230.1542,90.0,0.9956804921916612,0.0,0.0,1.2947512970238477,90.0,1.5707963267948966,0.013254045072706954,0.0,0.00018432991890852827,0.0,10427.082376540524,588365.8130505146,33910.31812148554,32567.928036490463,33910.31812148554,0.6873786324244526,12257.424399872172,0.0,-2.4259356088244737e-36,2302.998178409919,2.0263680390920486e-19,pseudo_6dof_kinematic_bridge,a320.attitude_response_p6dof.v1,surrogate_policy_overlay,0.0,0,0.6845240807095745,0.013254045072706954,2.3409907592003427e-28,0.01970855789390678,-9.363963036801382e-27,jsbsim-1.3.1-a320-coefficient-surrogate
6.0,8.506893180134821e-14,1389.2810867684711,10514.215888309018,231.02132744679125,0.7773563810536247,59995.929330753956,0,1,outbound-climb,0.0,1380.9252000000001,10524.0,230.1542,90.0,0.9956804921916612,0.0,0.0,1.245799196928004,90.0,1.5707963267948966,0.01428500952618576,0.0,-0.0008543753224383075,0.0,10407.419724568574,588359.0803714383,33888.69667313313,32770.63548240661,33888.69667313313,0.6914164487278427,12278.233721809105,0.0,-2.421360951613556e-36,2281.532073311086,2.0225468580482133e-19,pseudo_6dof_kinematic_bridge,a320.attitude_response_p6dof.v1,surrogate_policy_overlay,0.0,0,0.6892421204242707,0.01428500952618576,2.3409907592003427e-28,0.019775045183960085,-9.363963036801382e-27,jsbsim-1.3.1-a320-coefficient-surrogate
7.0,9.921330448852948e-14,1620.2762226236275,10517.694529787437,230.84248594225306,0.776794263554508,59995.23881535656,0,1,outbound-climb,0.0,1611.0794,10528.0,230.1542,90.0,0.9956804921916612,0.0,0.0,1.1852507134848194,90.0,1.5707963267948966,0.015058232866294863,0.0,-0.0010567703931728424,0.0,10387.13588811615,588352.3087286165,33866.38779094385,32978.78532956268,33866.38779094385,0.6955626745489832,12298.024099700058,0.0,-2.4166417713715143e-36,1479.9424920980052,2.0186049578681742e-19,pseudo_6dof_kinematic_bridge,a320.attitude_response_p6dof.v1,surrogate_policy_overlay,0.0,0,0.6941143432643293,0.015058232866294863,2.3409907592003427e-28,0.019884943419409024,-9.363963036801382e-27,jsbsim-1.3.1-a320-coefficient-surrogate
8.0,1.1334660172697265e-13,1851.090482674498,10521.304332159927,230.6613234361938,0.7762257724353095,59994.54420180217,0,1,outbound-climb,0.0,1841.2336,10532.0,230.1542,90.0,0.9956804921916612,0.0,0.0,1.140126106961882,90.0,1.5707963267948966,0.015638150371376693,0.0,-0.0007875729574921669,0.0,10366.481835649653,588345.4968966033,33843.66938144374,33189.747070242105,33843.66938144374,0.6997649116797265,12316.91408762859,0.0,-2.411836457714673e-36,583.2581659704127,2.0145911110139477e-19,pseudo_6dof_kinematic_bridge,a320.attitude_response_p6dof.v1,surrogate_policy_overlay,0.0,0,0.6990738272653374,0.015638150371376693,2.3409907592003427e-28,0.019977580853692233,-9.363963036801382e-27,jsbsim-1.3.1-a320-coefficient-surrogate
9.0,1.2746870992006451e-13,2081.7220117476027,10525.011612394568,230.4794404333701,0.7756559062185264,59993.84542157838,0,1,outbound-climb,0.0,2071.3878,10536.0,230.1542,90.0,0.9956804921916612,0.0,0.0,1.118048158288615,90.0,1.5707963267948966,0.016073088500188064,0.0,-0.00038533289643482514,0.0,10345.643490284463,588338.6442035215,33820.7469298548,33401.5758918755,33820.7469298548,0.7039844205668004,12334.99627742613,0.0,-2.4069882669912416e-36,-47.88523475911087,2.0105414492283473e-19,pseudo_6dof_kinematic_bridge,a320.attitude_response_p6dof.v1,surrogate_policy_overlay,0.0,0,0.7040709999135093,0.016073088500188064,2.3409907592003427e-28,0.02002981879286438,-9.363963036801382e-27,jsbsim-1.3.1-a320-coefficient-surrogate
