table_id,declared_id,name,function_name,source_kind,dimensions,shape,breakpoint_ids,flat_index,coordinates,value,issues
T_IDLE_table,T_IDLE_table,T_IDLE table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,34,"[1.0,40000.0]",-200.0,
T_IDLE_table,T_IDLE_table,T_IDLE table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,35,"[1.0,50000.0]",700.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,0,"[0.0,0.0]",12680.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,1,"[0.0,10000.0]",9150.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,2,"[0.0,20000.0]",6200.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,3,"[0.0,30000.0]",3950.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,4,"[0.0,40000.0]",2450.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,5,"[0.0,50000.0]",1400.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,6,"[0.2,0.0]",12680.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,7,"[0.2,10000.0]",9150.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,8,"[0.2,20000.0]",6313.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,9,"[0.2,30000.0]",4040.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,10,"[0.2,40000.0]",2470.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,11,"[0.2,50000.0]",1400.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,12,"[0.4,0.0]",12610.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,13,"[0.4,10000.0]",9312.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,14,"[0.4,20000.0]",6610.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,15,"[0.4,30000.0]",4290.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,16,"[0.4,40000.0]",2600.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,17,"[0.4,50000.0]",1560.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,18,"[0.6,0.0]",12640.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,19,"[0.6,10000.0]",9839.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,20,"[0.6,20000.0]",7090.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,21,"[0.6,30000.0]",4660.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,22,"[0.6,40000.0]",2840.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,23,"[0.6,50000.0]",1660.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,24,"[0.8,0.0]",12390.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,25,"[0.8,10000.0]",10176.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,26,"[0.8,20000.0]",7750.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,27,"[0.8,30000.0]",5320.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,28,"[0.8,40000.0]",3250.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,29,"[0.8,50000.0]",1930.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,30,"[1.0,0.0]",11680.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,31,"[1.0,10000.0]",9848.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,32,"[1.0,20000.0]",8050.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,33,"[1.0,30000.0]",6100.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,34,"[1.0,40000.0]",3800.0,
T_MIL_table,T_MIL_table,T_MIL table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,35,"[1.0,50000.0]",2310.0,
T_MAX_table,T_MAX_table,T_MAX table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,0,"[0.0,0.0]",20000.0,
T_MAX_table,T_MAX_table,T_MAX table,,top-level-definition,2,"[6,6]",MACH_PTS;ALT_PTS,1,"[0.0,10000.0]",15000.0,
