member,is_directory,compressed_bytes,uncompressed_bytes,crc32
Atmospheric_checkcases/Atmos_10_NorthwardCannonball/Atmos_10_sim_06.csv,False,84346,198385,540b98d8
Atmospheric_checkcases/Atmos_10_NorthwardCannonball/Atmos_10_sim_03.csv,False,47295,101360,2d36f01d
Atmospheric_checkcases/Atmos_10_NorthwardCannonball/Atmos_10_sim_05.csv,False,818206,2091186,6dddd151
Atmospheric_checkcases/Atmos_10_NorthwardCannonball/Atmos_10_sim_04.csv,False,51402,122771,766dfd23
Atmospheric_checkcases/Atmos_10_NorthwardCannonball/Atmos_10_sim_01.csv,False,55887,127810,1446bc26
Atmospheric_checkcases/Atmos_07_DroppedSphereSteadyWind/,True,0,0,00000000
Atmospheric_checkcases/Atmos_07_DroppedSphereSteadyWind/Atmos_07_sim_03.csv,False,39225,88843,e4c56f82
Atmospheric_checkcases/Atmos_07_DroppedSphereSteadyWind/Atmos_07_sim_01.csv,False,44233,102950,7c73e0e7
Atmospheric_checkcases/Atmos_07_DroppedSphereSteadyWind/Atmos_07_sim_02.csv,False,30636,76293,523b353b
Atmospheric_checkcases/Atmos_07_DroppedSphereSteadyWind/Atmos_07_sim_06.csv,False,83634,196088,0cd2e619
Atmospheric_checkcases/Atmos_07_DroppedSphereSteadyWind/Atmos_07_sim_05.csv,False,815714,2050629,c237ad40
Atmospheric_checkcases/Atmos_07_DroppedSphereSteadyWind/Atmos_07_sim_04.csv,False,41528,99497,34676511
Atmospheric_checkcases/Atmos_13p4_SubsonicLateralSideStepF16/,True,0,0,00000000
Atmospheric_checkcases/Atmos_13p4_SubsonicLateralSideStepF16/Atmos_13p4_sim_04.csv,False,118337,281289,cbc6b01a
Atmospheric_checkcases/Atmos_13p4_SubsonicLateralSideStepF16/Atmos_13p4_sim_05.csv,False,642834,1789951,4bdc8bf7
Atmospheric_checkcases/Atmos_13p4_SubsonicLateralSideStepF16/Atmos_13p4_sim_02.csv,False,84006,210587,d6b7dbe6
Atmospheric_checkcases/Atmos_08_DroppedSphere2DWindShear/,True,0,0,00000000
Atmospheric_checkcases/Atmos_08_DroppedSphere2DWindShear/Atmos_08_sim_04.csv,False,41557,99270,c36efbe8
Atmospheric_checkcases/Atmos_08_DroppedSphere2DWindShear/Atmos_08_sim_05.csv,False,815268,2046609,590d1e2c
Atmospheric_checkcases/Atmos_08_DroppedSphere2DWindShear/Atmos_08_sim_01.csv,False,44077,102531,335a8f93
Atmospheric_checkcases/Atmos_08_DroppedSphere2DWindShear/Atmos_08_sim_02.csv,False,30853,76470,d1bf072c
Atmospheric_checkcases/Atmos_08_DroppedSphere2DWindShear/Atmos_08_sim_06.csv,False,83574,195690,320478fa
Atmospheric_checkcases/Atmos_08_DroppedSphere2DWindShear/Atmos_08_sim_03.csv,False,39341,88935,c3f6cc5e
Atmospheric_checkcases/Atmos_04_DroppedSphereRoundNonRotation/,True,0,0,00000000
Atmospheric_checkcases/Atmos_04_DroppedSphereRoundNonRotation/Atmos_04_sim_02.csv,False,33580,89672,154576a4
Atmospheric_checkcases/Atmos_04_DroppedSphereRoundNonRotation/Atmos_04_sim_05.csv,False,773699,2079462,b91461e5
Atmospheric_checkcases/Atmos_04_DroppedSphereRoundNonRotation/Atmos_04_sim_04.csv,False,55467,127816,5bf7437d
Atmospheric_checkcases/Atmos_04_DroppedSphereRoundNonRotation/Atmos_04_sim_06.csv,False,83118,210383,c4edd11d
Atmospheric_checkcases/Atmos_15_CircleNorthPole/,True,0,0,00000000
Atmospheric_checkcases/Atmos_15_CircleNorthPole/Atmos_15_sim_05.csv,False,473721,1314073,b1faab23
Atmospheric_checkcases/Atmos_15_CircleNorthPole/Atmos_15_sim_04.csv,False,288515,839244,2cbe9892
Atmospheric_checkcases/Atmos_15_CircleNorthPole/Atmos_15_sim_02.csv,False,163227,619725,afc7c224
Atmospheric_checkcases/Atmos_16_CircleEquatorDateLine/,True,0,0,00000000
Atmospheric_checkcases/Atmos_16_CircleEquatorDateLine/Atmos_16_sim_04.csv,False,342822,840194,89da63b9
Atmospheric_checkcases/Atmos_16_CircleEquatorDateLine/Atmos_16_sim_02.csv,False,236779,632405,b6c61bab
Atmospheric_checkcases/Atmos_16_CircleEquatorDateLine/Atmos_16_sim_05.csv,False,520076,1318338,3be485c3
Atmospheric_checkcases/Atmos_17_TwoStageRocketToOrbit/,True,0,0,00000000
Atmospheric_checkcases/Atmos_17_TwoStageRocketToOrbit/Atmos_17_sim_05.csv,False,4815258,12731741,a8e6c2f4
Atmospheric_checkcases/Atmos_17_TwoStageRocketToOrbit/Atmos_17_sim_06.csv,False,613398,1448103,68a5b961
Atmospheric_checkcases/Atmos_17_TwoStageRocketToOrbit/Atmos_17_sim_04.csv,False,2857454,7877095,3b351873
Atmospheric_checkcases/Atmos_09_EastwardCannonball/,True,0,0,00000000
Atmospheric_checkcases/Atmos_09_EastwardCannonball/Atmos_09_sim_02.csv,False,31588,81655,710014b1
Atmospheric_checkcases/Atmos_09_EastwardCannonball/Atmos_09_sim_03.csv,False,41190,91494,32f263eb
Atmospheric_checkcases/Atmos_09_EastwardCannonball/Atmos_09_sim_04.csv,False,51186,121756,048f84f4
Atmospheric_checkcases/Atmos_09_EastwardCannonball/Atmos_09_sim_01.csv,False,44424,112750,8bde929c
Atmospheric_checkcases/Atmos_09_EastwardCannonball/Atmos_09_sim_05.csv,False,791775,2118143,29205708
Atmospheric_checkcases/Atmos_09_EastwardCannonball/Atmos_09_sim_06.csv,False,83133,209915,79e8eda0
