time_s,position_n_m,position_e_m,position_d_m,altitude_m,u_mps,v_mps,w_mps,qw,qx,qy,qz,p_rad_s,q_rad_s,r_rad_s
0,0,0,0,3051.9624000000003,172.23545996014465,0,7.992150327561883,0.99973124913056,0,0.023182526002362223,0,0,0,0
0.01,1.7242078799999998,0,-6.0034406697367799e-16,3051.9624000000003,172.23545996014465,0,7.9921503275617232,0.99973124913056,0,0.023182526002362105,0,0,-4.6721968246499988e-14,0
0.02,3.4484157599999996,0,-2.3532133099878342e-15,3051.9624000000003,172.23545996014465,0,7.9921503275614914,0.99973124913056,0,0.023182526002361755,0,0,-9.2725921295229511e-14,0
0.029999999999999999,5.1726236399999994,0,-5.1719877851253053e-15,3051.9624000000003,172.23545996014465,0,7.9921503275611885,0.99973124913056,0,0.023182526002361179,0,0,-1.3800106259122587e-13,0
0.040000000000000001,6.8968315199999992,0,-9.0055805676282989e-15,3051.9624000000003,172.23545996014465,0,7.9921503275608163,0.99973124913056011,0,0.023182526002360381,0,0,-1.8253540794784543e-13,0
0.050000000000000003,8.621039399999999,0,-1.3748167486964225e-14,3051.9624000000003,172.23545996014468,0,7.9921503275603776,0.99973124913056011,0,0.023182526002359358,0,0,-2.2631649723141237e-13,0
0.060000000000000005,10.345247279999999,0,-1.9304295102867582e-14,3051.9624000000003,172.23545996014471,0,7.9921503275598731,0.99973124913056011,0,0.023182526002358119,0,0,-2.6933443663598815e-13,0
0.069999999999999993,12.069455159999999,0,-2.5591853335811141e-14,3051.9624000000003,172.23545996014474,0,7.9921503275593047,0.99973124913056011,0,0.023182526002356665,0,0,-3.1158069848869409e-13,0
0.080000000000000002,13.793663039999998,0,-3.252134812165763e-14,3051.9624000000003,172.23545996014477,0,7.9921503275586749,0.99973124913056022,0,0.023182526002355007,0,0,-3.5304574918103441e-13,0
0.089999999999999997,15.517870919999998,0,-3.997666958163842e-14,3051.9624000000003,172.23545996014479,0,7.9921503275579848,0.99973124913056022,0,0.02318252600235314,0,0,-3.9372102735214689e-13,0
0.099999999999999992,17.242078799999998,0,-4.7841718076799782e-14,3051.9624000000003,172.23545996014482,0,7.9921503275572361,0.99973124913056033,0,0.023182526002351076,0,0,-4.3359893081500552e-13,0
0.11,18.966286679999996,0,-5.6025570715708904e-14,3051.9624000000003,172.23545996014485,0,7.9921503275564305,0.99973124913056033,0,0.023182526002348811,0,0,-4.726728114898543e-13,0
0.12,20.690494559999994,0,-6.4389964074656077e-14,3051.9624000000003,172.23545996014488,0,7.9921503275555708,0.99973124913056044,0,0.023182526002346351,0,0,-5.1093696516085202e-13,0
0.13,22.414702439999992,0,-7.2818863611608033e-14,3051.9624000000003,172.23545996014494,0,7.9921503275546577,0.99973124913056055,0,0.023182526002343704,0,0,-5.4838524645242565e-13,0
0.14000000000000001,24.13891031999999,0,-8.1202166695883637e-14,3051.9624000000003,172.23545996014499,0,7.9921503275536931,0.99973124913056055,0,0.023182526002340869,0,0,-5.8501245110138215e-13,0
0.15000000000000002,25.863118199999988,0,-8.9398698428668301e-14,3051.9624000000003,172.23545996014505,0,7.9921503275526788,0.99973124913056055,0,0.023182526002337851,0,0,-6.2081440193459074e-13,0
0.16,27.587326079999986,0,-9.7282114138508792e-14,3051.9624000000003,172.23545996014511,0,7.9921503275516175,0.99973124913056066,0,0.023182526002334659,0,0,-6.5578725890535196e-13,0
0.17000000000000001,29.311533959999984,0,-1.0471276771661834e-13,3051.9624000000003,172.23545996014516,0,7.9921503275505099,0.99973124913056077,0,0.023182526002331293,0,0,-6.8992838999606601e-13,0
0.18000000000000002,31.035741839999986,0,-1.1156138378447723e-13,3051.9624000000003,172.23545996014522,0,7.9921503275493579,0.99973124913056088,0,0.023182526002327761,0,0,-7.2323509232357464e-13,0
0.19,32.759949719999987,0,-1.1769427042020457e-13,3051.9624000000003,172.23545996014528,0,7.9921503275481633,0.99973124913056099,0,0.023182526002324063,0,0,-7.5570527709416495e-13,0
0.20000000000000001,34.484157599999989,0,-1.2295555669920269e-13,3051.9624000000003,172.23545996014533,0,7.9921503275469279,0.99973124913056111,0,0.023182526002320205,0,0,-7.8733746148575985e-13,0
0.21000000000000002,36.208365479999991,0,-1.2721009683040884e-13,3051.9624000000003,172.23545996014539,0,7.9921503275456525,0.99973124913056122,0,0.023182526002316191,0,0,-8.1813086817989521e-13,0
0.22,37.932573359999992,0,-1.3031388350711661e-13,3051.9624000000003,172.23545996014545,0,7.9921503275443397,0.99973124913056133,0,0.023182526002312027,0,0,-8.4808491992733577e-13,0
0.23000000000000001,39.656781239999994,0,-1.3210518189525904e-13,3051.9624000000003,172.2354599601455,0,7.9921503275429906,0.99973124913056133,0,0.023182526002307715,0,0,-8.7720012667279741e-13,0
0.24000000000000002,41.380989119999995,0,-1.3245185280209436e-13,3051.9624000000003,172.23545996014559,0,7.9921503275416077,0.99973124913056144,0,0.02318252600230326,0,0,-9.0547699557258795e-13,0
0.25,43.105196999999997,0,-1.3121587852815307e-13,3051.9624000000003,172.23545996014568,0,7.9921503275401919,0.99973124913056155,0,0.023182526002298667,0,0,-9.3291691377077809e-13,0
0.26000000000000001,44.829404879999998,0,-1.2823408385840636e-13,3051.9624000000003,172.23545996014576,0,7.9921503275387451,0.99973124913056166,0,0.023182526002293938,0,0,-9.5952154969841292e-13,0
0.27000000000000002,46.55361276,0,-1.233581176518192e-13,3051.9624000000003,172.23545996014585,0,7.992150327537269,0.99973124913056177,0,0.023182526002289077,0,0,-9.852926574236506e-13,0
0.28000000000000003,48.277820640000002,0,-1.1642187633673952e-13,3051.9624000000003,172.23545996014593,0,7.9921503275357644,0.99973124913056188,0,0.023182526002284088,0,0,-1.0102329542228854e-12,0
0.29000000000000004,50.002028520000003,0,-1.0726371750216702e-13,3051.9624000000003,172.23545996014602,0,7.992150327534234,0.99973124913056199,0,0.023182526002278978,0,0,-1.0343459259326655e-12,0
0.29999999999999999,51.726236400000005,0,-9.5736819628873353e-14,3051.9624000000003,172.2354599601461,0,7.9921503275326788,0.99973124913056211,0,0.023182526002273749,0,0,-1.0576349240911917e-12,0
0.31,53.450444280000006,0,-8.1672169881914851e-14,3051.9624000000003,172.23545996014619,0,7.9921503275310997,0.99973124913056222,0,0.023182526002268406,0,0,-1.0801039608080754e-12,0
0.32000000000000001,55.174652160000008,0,-6.4905209529406834e-14,3051.9624000000003,172.23545996014627,0,7.9921503275294992,0.99973124913056233,0,0.023182526002262952,0,0,-1.101757700267327e-12,0
0.33000000000000002,56.89886004000001,0,-4.5275839342822297e-14,3051.9624000000003,172.23545996014636,0,7.9921503275278782,0.99973124913056244,0,0.023182526002257394,0,0,-1.1226002729219578e-12,0
0.34000000000000002,58.623067920000011,0,-2.2613622638067981e-14,3051.9624000000003,172.23545996014644,0,7.9921503275262387,0.99973124913056255,0,0.023182526002251732,0,0,-1.1426376401569362e-12,0
0.35000000000000003,60.347275800000013,0,3.2400281096867026e-15,3051.9624000000003,172.23545996014653,0,7.9921503275245813,0.99973124913056277,0,0.023182526002245976,0,0,-1.1618750240590005e-12,0
0.36000000000000004,62.071483680000014,0,3.2431845456084952e-14,3051.9624000000003,172.23545996014661,0,7.992150327522908,0.99973124913056288,0,0.023182526002240123,0,0,-1.1803186803834805e-12,0
0.37,63.795691560000016,0,6.5138143898798783e-14,3051.9624000000003,172.2354599601467,0,7.9921503275212205,0.99973124913056299,0,0.02318252600223418,0,0,-1.1979749060721043e-12,0
0.38,65.519899440000017,0,1.0152782849311449e-13,3051.9624000000003,172.23545996014681,0,7.9921503275195196,0.9997312491305631,0,0.02318252600222815,0,0,-1.2148505326936258e-12,0
0.39000000000000001,67.244107320000026,0,1.4176386242041088e-13,3051.9624000000003,172.23545996014693,0,7.9921503275178063,0.99973124913056333,0,0.02318252600222204,0,0,-1.2309519401907784e-12,0
0.40000000000000002,68.968315200000035,0,1.8598700281046335e-13,3051.9624000000003,172.23545996014704,0,7.9921503275160832,0.99973124913056344,0,0.023182526002215847,0,0,-1.2462871173934507e-12,0
0.41000000000000003,70.692523080000043,0,2.343868296958738e-13,3051.9624000000003,172.23545996014715,0,7.9921503275143504,0.99973124913056355,0,0.023182526002209582,0,0,-1.2608631035034713e-12,0
0.42000000000000004,72.416730960000052,0,2.8712330747662527e-13,3051.9624000000003,172.23545996014727,0,7.9921503275126096,0.99973124913056366,0,0.023182526002203243,0,0,-1.2746866711719606e-12,0
0.42999999999999999,74.140938840000061,0,3.4435934406110158e-13,3051.9624000000003,172.23545996014738,0,7.9921503275108625,0.99973124913056388,0,0.023182526002196842,0,0,-1.2877673924947199e-12,0
0.44,75.86514672000007,0,4.0625191578977722e-13,3051.9624000000003,172.23545996014749,0,7.9921503275091093,0.99973124913056399,0,0.023182526002190375,0,0,-1.3001137629133215e-12,0
0.45000000000000001,77.589354600000078,0,4.7297131573086771e-13,3051.9624000000003,172.23545996014761,0,7.9921503275073524,0.99973124913056421,0,0.023182526002183849,0,0,-1.311734993081325e-12,0
0.46000000000000002,79.313562480000087,0,5.4467744519443597e-13,3051.9624000000003,172.23545996014772,0,7.9921503275055921,0.99973124913056433,0,0.023182526002177264,0,0,-1.3226394248198578e-12,0
0.47000000000000003,81.037770360000096,0,6.2154649719920018e-13,3051.9624000000003,172.23545996014784,0,7.9921503275038299,0.99973124913056444,0,0.023182526002170627,0,0,-1.3328366006638846e-12,0
0.48000000000000004,82.761978240000104,0,7.0373686889119222e-13,3051.9624000000003,172.23545996014795,0,7.9921503275020669,0.99973124913056466,0,0.023182526002163945,0,0,-1.3423356860912226e-12,0
0.48999999999999999,84.486186120000113,0,7.9138919329353096e-13,3051.9624000000003,172.23545996014806,0,7.9921503275003039,0.99973124913056477,0,0.023182526002157214,0,0,-1.3511463538482472e-12,0
0.5,86.210394000000122,0,8.8465890107514472e-13,3051.9624000000003,172.23545996014818,0,7.9921503274985426,0.99973124913056499,0,0.023182526002150441,0,0,-1.3592790748653353e-12,0
0.51000000000000001,87.93460188000013,0,9.8372803450077918e-13,3051.9624000000003,172.23545996014829,0,7.992150327496784,0.9997312491305651,0,0.023182526002143627,0,0,-1.3667436357599432e-12,0
0.52000000000000002,89.658809760000139,0,1.0887756775908913e-12,3051.9624000000003,172.2354599601484,0,7.992150327495029,0.99973124913056521,0,0.023182526002136779,0,0,-1.3735502296467128e-12,0
0.53000000000000003,91.383017640000148,0,1.1999305822484878e-12,3051.9624000000003,172.23545996014852,0,7.9921503274932784,0.99973124913056544,0,0.023182526002129902,0,0,-1.379709646518128e-12,0
0.54000000000000004,93.107225520000156,0,1.3173451561509935e-12,3051.9624000000003,172.23545996014863,0,7.9921503274915331,0.99973124913056555,0,0.023182526002122991,0,0,-1.3852321841003939e-12,0
0.55000000000000004,94.831433400000165,0,1.4411836502527245e-12,3051.9624000000003,172.23545996014875,0,7.992150327489794,0.99973124913056577,0,0.023182526002116059,0,0,-1.3901290350173724e-12,0
0.56000000000000005,96.555641280000174,0,1.5715851393149954e-12,3051.9624000000003,172.23545996014886,0,7.992150327488063,0.99973124913056588,0,0.0231825260021091,0,0,-1.3944107002648187e-12,0
0.57000000000000006,98.279849160000182,0,1.7087301345944475e-12,3051.9624000000003,172.23545996014897,0,7.9921503274863399,0.9997312491305661,0,0.023182526002102122,0,0,-1.3980889636908876e-12,0
0.58000000000000007,100.00405704000019,0,1.8527428909310322e-12,3051.9624000000003,172.23545996014909,0,7.9921503274846257,0.99973124913056621,0,0.023182526002095125,0,0,-1.4011744219289743e-12,0
0.58999999999999997,101.7282649200002,0,2.003799454063295e-12,3051.9624000000003,172.2354599601492,0,7.9921503274829222,0.99973124913056644,0,0.023182526002088116,0,0,-1.4036781678823113e-12,0
0.59999999999999998,103.45247280000021,0,2.1620358967889329e-12,3051.9624000000003,172.23545996014931,0,7.9921503274812293,0.99973124913056655,0,0.023182526002081094,0,0,-1.4056125720273948e-12,0
